Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V22Z;V22B;V81Z;V81B;V82Z;V82B;V321Z;V321B;TF32aZ;TF32aB;TF32bZ;TF32bB;TBS32aZ;TBS32aB;TBS32bZ;TBS32bB;V1_IOZ;V1_IOB;V2_IOZ;V2_IOB;V3_IOZ;V3_IOB;EG21Z;EG21B;EG22Z;EG22B;EG23Z;EG23B;EG24Z;EG24B
11.02.2025;00:33;A 99;1;0;100;0;0;1;3;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:32;A 99;1;0;100;0;0;1;2;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:31;A 99;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:30;A 99;1;0;100;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:29;A 99;1;0;100;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:28;A 99;1;0;100;0;0;0;0;1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:27;A 99;1;0;100;2;16;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:26;A 99;1;2;97;0;0;1;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:25;A 99;1;2;78;1;9;1;2;1;10;0;0;1;1;0;0;1;1;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:24;A 99;1;4;59;0;0;1;1;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:23;A 99;1;3;64;0;0;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:22;A 99;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:21;A 99;1;0;100;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:20;A 99;1;4;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:19;A 99;1;3;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:18;A 99;1;2;64;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:17;A 99;1;2;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:16;A 99;1;20;55;0;0;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:15;A 99;1;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:14;A 99;1;5;23;1;10;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:13;A 99;1;4;33;1;3;2;6;2;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:12;A 99;1;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:11;A 99;1;3;15;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:10;A 99;1;9;72;2;15;1;2;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:09;A 99;1;0;100;3;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:08;A 99;1;4;35;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:07;A 99;1;0;0;0;0;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:06;A 99;1;2;15;0;0;1;3;2;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:05;A 99;1;1;5;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:04;A 99;1;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:03;A 99;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:02;A 99;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:01;A 99;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
11.02.2025;00:00;A 99;1;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:59;A 99;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:58;A 99;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:57;A 99;1;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:56;A 99;1;0;0;0;2;1;3;2;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:55;A 99;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:54;A 99;1;0;0;1;3;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:53;A 99;1;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:52;A 99;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:51;A 99;1;0;0;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:50;A 99;1;0;13;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:49;A 99;1;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:48;A 99;1;1;53;2;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:47;A 99;1;1;7;1;6;1;2;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:46;A 99;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:45;A 99;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:44;A 99;1;7;18;1;7;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:43;A 99;1;0;0;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:42;A 99;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:41;A 99;1;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:40;A 99;1;0;0;0;0;0;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:39;A 99;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:38;A 99;1;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:37;A 99;1;0;0;0;0;2;5;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:36;A 99;1;0;0;0;0;1;1;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:35;A 99;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:34;A 99;1;0;0;1;2;0;0;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:33;A 99;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:32;A 99;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:31;A 99;1;0;0;2;13;1;3;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:30;A 99;1;0;0;0;0;2;7;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:29;A 99;1;1;8;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:28;A 99;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:27;A 99;1;0;0;1;5;0;0;0;0;1;3;0;0;1;1;0;0;1;1;0;0;0;0;;;;;;;;;;
10.02.2025;23:26;A 99;1;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:25;A 99;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:24;A 99;1;0;0;1;9;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:23;A 99;1;0;0;0;0;0;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:22;A 99;1;0;0;1;7;0;0;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:21;A 99;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:20;A 99;1;0;0;0;0;1;2;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:19;A 99;1;2;15;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:18;A 99;1;0;0;1;4;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:17;A 99;1;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:16;A 99;1;0;0;0;0;1;5;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:15;A 99;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:14;A 99;1;3;17;1;4;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:13;A 99;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:12;A 99;1;2;12;0;0;3;27;3;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:11;A 99;1;2;11;1;12;1;2;1;13;1;4;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:10;A 99;1;1;5;2;14;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:09;A 99;1;0;68;1;13;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:08;A 99;1;1;80;2;13;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:07;A 99;1;0;0;0;0;1;4;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:06;A 99;1;0;0;1;6;1;3;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:05;A 99;1;0;0;1;6;1;3;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:04;A 99;1;0;0;1;7;0;0;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:03;A 99;1;0;0;1;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:02;A 99;1;0;0;1;4;1;6;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:01;A 99;1;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;23:00;A 99;1;0;0;1;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:59;A 99;1;1;4;1;18;0;0;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:58;A 99;1;3;8;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:57;A 99;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:56;A 99;1;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:55;A 99;1;1;6;2;13;1;2;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:54;A 99;1;1;16;1;7;0;0;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:53;A 99;1;0;0;0;0;0;0;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:52;A 99;1;1;25;0;0;0;0;1;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:51;A 99;1;1;2;1;15;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:50;A 99;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:49;A 99;1;0;0;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:48;A 99;1;1;6;1;5;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:47;A 99;1;1;7;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:46;A 99;1;0;0;1;12;2;1;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:45;A 99;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:44;A 99;1;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:43;A 99;1;0;0;0;0;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:42;A 99;1;0;0;1;7;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:41;A 99;1;1;7;2;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:40;A 99;1;1;10;3;31;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:39;A 99;1;0;0;1;8;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:38;A 99;1;1;4;2;18;0;0;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:37;A 99;1;1;7;1;18;1;3;1;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:36;A 99;1;0;0;2;17;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:35;A 99;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:34;A 99;1;2;16;1;10;0;0;3;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:33;A 99;1;0;0;2;26;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:32;A 99;1;2;18;0;1;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:31;A 99;1;0;0;1;11;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:30;A 99;1;0;0;0;0;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:29;A 99;1;2;37;5;74;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:28;A 99;1;0;0;9;74;0;0;2;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:27;A 99;1;0;0;0;0;0;0;3;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:26;A 99;1;1;7;2;12;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:25;A 99;1;1;6;2;6;0;0;2;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:24;A 99;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:23;A 99;1;1;9;2;18;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:22;A 99;1;0;0;1;14;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:21;A 99;1;1;5;2;11;0;0;2;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:20;A 99;1;2;27;3;39;0;0;2;45;0;0;0;0;1;1;0;0;1;1;0;0;0;0;;;;;;;;;;
10.02.2025;22:19;A 99;1;1;6;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:18;A 99;1;1;9;0;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:17;A 99;1;0;0;5;14;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:16;A 99;1;0;0;1;19;1;1;2;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:15;A 99;1;1;6;1;8;0;0;2;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:14;A 99;1;1;1;1;25;0;0;2;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:13;A 99;1;2;13;0;0;0;0;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:12;A 99;1;1;40;1;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:11;A 99;1;0;0;2;19;0;0;3;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:10;A 99;1;0;0;1;6;0;0;2;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:09;A 99;1;0;10;3;21;0;0;3;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:08;A 99;1;2;18;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:07;A 99;1;1;8;3;22;1;1;1;12;1;6;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:06;A 99;1;2;10;1;10;1;2;2;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:05;A 99;1;0;0;1;7;2;3;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:04;A 99;1;0;0;2;13;0;0;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:03;A 99;1;0;0;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:02;A 99;1;0;0;1;7;0;0;3;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:01;A 99;1;0;0;1;9;0;0;3;28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;22:00;A 99;1;0;0;1;10;1;1;3;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;21:59;A 99;1;0;0;3;31;1;1;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;21:58;A 99;1;0;0;0;0;1;5;2;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;21:57;A 99;1;2;28;2;20;0;0;3;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;21:56;A 99;1;1;9;0;11;0;0;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;21:55;A 99;1;1;25;1;4;0;4;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;21:54;A 99;1;1;5;1;13;4;5;3;66;0;0;0;0;0;0;1;1;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;21:53;A 99;1;0;0;1;13;0;2;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;21:52;A 99;1;1;1;3;42;1;0;2;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;21:51;A 99;1;0;0;2;17;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
10.02.2025;21:50;A 99;1;2;8;4;35;0;0;1;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
