Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D21Z;D21B;D31Z;D31B;D41Z;D41B;D42Z;D42B;H57_M1_1137Z;H57_M1_1137B;A57_M2_1138Z;A57_M2_1138B;H53_M3_3006Z;H53_M3_3006B;A53_M5_3007Z;A53_M5_3007B;H53_M6_1140Z;H53_M6_1140B;D43Z;D43B;Power_onZ;Power_onB;Fiber_reserveZ;Fiber_reserveB;LLB-TestZ;LLB-TestB;SyncZ;SyncB;foultZ;foultB
01.03.2024;00:48;A  5;1;0;0;1;1;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:47;A  5;1;0;0;0;0;0;0;0;100;0;0;1;2;0;0;0;0;1;2;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:46;A  5;1;0;0;1;7;0;0;0;100;0;0;0;0;2;3;0;0;1;2;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:45;A  5;1;0;0;2;5;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:44;A  5;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:43;A  5;1;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;;;2;3;0;0;;;0;0;;;;;;
01.03.2024;00:42;A  5;1;0;0;0;0;0;0;0;100;0;0;2;3;0;0;0;0;0;0;;;1;2;0;0;;;0;0;;;;;;
01.03.2024;00:41;A  5;1;1;1;1;1;0;0;0;100;0;0;1;1;0;0;0;0;0;0;;;1;2;0;0;;;0;0;;;;;;
01.03.2024;00:40;A  5;1;1;1;2;3;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:39;A  5;1;0;0;0;0;1;1;0;100;0;0;1;1;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:38;A  5;1;0;0;0;0;0;0;0;100;0;0;0;1;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:37;A  5;1;0;0;0;0;1;7;0;100;1;1;2;1;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:36;A  5;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;1;2;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:35;A  5;1;0;0;0;0;0;0;0;100;0;0;0;0;1;2;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:34;A  5;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:33;A  5;1;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:32;A  5;1;0;0;0;0;0;0;0;100;1;0;1;1;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:31;A  5;1;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:30;A  5;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:29;A  5;1;0;0;0;0;0;0;0;100;0;0;1;2;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:28;A  5;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:27;A  5;1;0;0;2;2;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:26;A  5;1;0;0;0;0;0;0;0;100;0;0;2;2;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:25;A  5;1;0;0;1;1;0;0;0;100;0;0;1;1;0;0;0;0;0;0;;;1;2;0;0;;;0;0;;;;;;
01.03.2024;00:24;A  5;1;1;1;0;0;0;0;0;100;0;0;2;4;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:23;A  5;1;0;0;0;0;0;0;0;100;0;0;2;3;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:22;A  5;1;0;0;0;0;0;0;0;100;0;0;1;2;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:21;A  5;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:20;A  5;1;0;0;0;0;1;18;0;100;0;0;1;1;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:19;A  5;1;0;0;0;0;0;0;0;100;1;11;2;2;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:18;A  5;1;0;0;0;0;0;0;0;100;0;0;0;0;1;2;0;0;2;3;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:17;A  5;1;2;4;0;31;0;0;0;100;0;0;0;0;3;5;0;0;2;3;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:16;A  5;1;0;0;1;11;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:15;A  5;1;0;0;1;2;0;0;0;100;1;29;3;4;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:14;A  5;1;0;0;0;0;1;1;0;100;1;1;1;1;0;0;0;0;0;0;;;2;3;0;0;;;0;0;;;;;;
01.03.2024;00:13;A  5;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;1;2;0;0;;;0;0;;;;;;
01.03.2024;00:12;A  5;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;1;2;0;0;;;0;0;;;;;;
01.03.2024;00:11;A  5;1;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:10;A  5;1;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:09;A  5;1;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;;;0;0;1;2;;;0;0;;;;;;
01.03.2024;00:08;A  5;1;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;;;1;2;0;0;;;0;0;;;;;;
01.03.2024;00:07;A  5;1;1;2;1;1;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:06;A  5;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:05;A  5;1;0;0;0;0;0;0;0;100;0;0;2;3;0;0;0;0;1;2;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:04;A  5;1;0;0;0;0;1;23;0;100;0;0;1;1;1;2;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:03;A  5;1;0;0;0;0;1;1;0;100;0;0;1;3;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:02;A  5;1;0;0;0;0;0;0;0;100;0;0;1;2;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:01;A  5;1;1;1;2;4;0;0;0;100;0;0;1;2;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
01.03.2024;00:00;A  5;1;0;0;0;0;0;0;0;100;0;0;2;4;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:59;A  5;1;0;0;1;1;0;0;0;100;1;1;2;2;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:58;A  5;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:57;A  5;1;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:56;A  5;1;1;1;2;3;0;0;0;100;0;0;1;2;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:55;A  5;1;0;0;1;1;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:54;A  5;1;0;0;1;1;0;0;0;100;0;0;1;2;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:53;A  5;1;0;0;0;0;0;0;0;100;2;1;5;6;0;0;0;0;0;0;;;1;2;0;0;;;0;0;;;;;;
29.02.2024;23:52;A  5;1;0;0;1;1;1;28;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:51;A  5;1;1;4;1;1;0;0;0;100;0;0;2;3;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:50;A  5;1;2;1;2;1;0;0;0;100;0;0;2;4;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:49;A  5;1;1;24;0;22;2;37;0;100;0;0;2;2;1;2;0;0;1;2;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:48;A  5;1;1;46;1;52;0;0;0;100;1;7;2;3;3;5;0;0;3;5;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:47;A  5;1;0;0;0;1;0;0;0;100;0;0;4;8;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:46;A  5;1;0;36;1;0;0;0;0;100;0;0;1;2;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:45;A  5;1;1;30;0;0;0;0;0;100;0;0;2;3;0;0;0;0;0;0;;;2;3;0;0;;;0;0;;;;;;
29.02.2024;23:44;A  5;1;0;0;0;0;1;37;0;100;1;4;0;0;0;0;0;0;0;0;;;1;2;0;0;;;0;0;;;;;;
29.02.2024;23:43;A  5;1;0;0;0;0;0;0;0;100;0;0;2;3;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:42;A  5;1;0;0;0;0;0;0;0;100;0;0;3;7;0;0;0;0;0;0;;;1;2;0;0;;;0;0;;;;;;
29.02.2024;23:41;A  5;1;0;0;1;4;0;0;0;100;0;0;1;1;0;0;0;0;0;0;;;1;2;0;0;;;0;0;;;;;;
29.02.2024;23:40;A  5;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;1;2;;;0;0;;;;;;
29.02.2024;23:39;A  5;1;0;0;1;3;0;0;0;100;1;21;1;2;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:38;A  5;1;0;0;0;0;0;0;0;100;1;0;3;5;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:37;A  5;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:36;A  5;1;0;0;0;0;1;2;0;100;0;0;2;3;0;0;0;0;1;2;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:35;A  5;1;0;0;0;0;0;0;0;100;1;4;1;1;1;2;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:34;A  5;1;0;0;0;0;0;0;0;100;1;15;2;2;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:33;A  5;1;0;0;1;2;1;1;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:32;A  5;1;0;0;0;0;0;0;0;100;1;3;1;1;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:31;A  5;1;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:30;A  5;1;0;0;0;0;1;21;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:29;A  5;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:28;A  5;1;1;2;1;2;0;0;0;100;0;0;3;5;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:27;A  5;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:26;A  5;1;0;0;1;2;2;3;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:25;A  5;1;0;0;0;0;0;0;0;100;2;10;5;9;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:24;A  5;1;0;0;1;2;0;0;0;100;0;0;1;1;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:23;A  5;1;0;0;0;0;0;0;0;100;0;0;1;1;1;2;0;0;1;2;;;1;2;0;0;;;0;0;;;;;;
29.02.2024;23:22;A  5;1;0;0;1;3;0;0;0;100;2;18;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:21;A  5;1;0;0;1;1;0;0;0;100;1;19;2;3;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:20;A  5;1;0;0;2;2;0;0;0;100;0;0;2;4;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:19;A  5;1;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:18;A  5;1;0;0;2;5;0;0;0;100;1;16;2;3;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:17;A  5;1;0;0;0;0;0;0;0;100;0;0;0;0;3;5;0;0;4;7;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:16;A  5;1;1;3;1;36;0;0;0;100;1;0;1;1;1;2;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:15;A  5;1;0;0;1;9;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:14;A  5;1;1;0;2;62;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:13;A  5;1;0;0;2;4;0;0;0;100;0;0;3;5;0;0;0;0;0;0;;;2;3;0;0;;;0;0;;;;;;
29.02.2024;23:12;A  5;1;1;2;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;2;3;0;0;;;0;0;;;;;;
29.02.2024;23:11;A  5;1;0;0;1;0;0;33;0;100;1;8;4;4;0;0;0;0;0;0;;;0;0;1;2;;;0;0;;;;;;
29.02.2024;23:10;A  5;1;0;0;0;0;1;6;0;100;1;5;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:09;A  5;1;0;0;0;0;0;0;0;100;2;16;3;3;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:08;A  5;1;2;4;1;1;0;0;0;100;0;0;2;4;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:07;A  5;1;0;0;1;1;0;0;0;100;1;1;1;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:06;A  5;1;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:05;A  5;1;0;0;2;4;0;0;0;100;1;5;1;1;1;2;0;0;1;2;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:04;A  5;1;0;0;1;1;0;0;0;100;0;0;2;3;0;0;0;0;0;0;;;1;2;0;0;;;0;0;;;;;;
29.02.2024;23:03;A  5;1;0;0;0;0;0;0;0;100;0;0;2;2;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:02;A  5;1;1;7;1;1;0;0;0;100;1;2;3;4;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:01;A  5;1;0;0;0;0;0;0;0;100;0;0;0;0;2;3;0;0;2;3;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;23:00;A  5;1;0;0;0;0;0;0;0;100;0;0;2;2;0;0;0;0;1;2;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:59;A  5;1;0;0;0;0;0;0;0;100;0;13;1;1;1;2;0;0;0;0;;;1;2;0;0;;;0;0;;;;;;
29.02.2024;22:58;A  5;1;0;0;0;0;0;0;0;100;1;37;2;1;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:57;A  5;1;0;0;0;0;0;0;0;100;0;21;1;1;0;0;0;0;0;0;;;1;2;0;0;;;0;0;;;;;;
29.02.2024;22:56;A  5;1;0;0;0;0;0;0;0;100;1;2;2;1;1;2;0;0;1;2;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:55;A  5;1;0;0;1;3;0;0;0;100;1;20;3;3;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:54;A  5;1;0;0;2;3;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:53;A  5;1;0;0;0;0;0;0;0;100;0;0;2;4;0;0;0;0;0;0;;;1;2;0;0;;;0;0;;;;;;
29.02.2024;22:52;A  5;1;2;22;1;1;0;0;0;100;0;0;2;2;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:51;A  5;1;0;0;1;2;0;0;0;100;0;0;1;2;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:50;A  5;1;0;0;0;0;0;0;0;100;0;0;4;5;0;0;0;0;1;2;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:49;A  5;1;0;19;0;0;0;0;0;100;0;0;0;0;1;2;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:48;A  5;1;2;14;1;43;0;0;0;100;4;14;4;3;1;2;0;0;3;5;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:47;A  5;1;0;0;2;11;0;0;0;100;0;0;2;3;3;5;0;0;1;2;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:46;A  5;1;0;0;1;1;1;1;0;100;2;4;2;2;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:45;A  5;1;0;0;0;0;0;0;0;100;1;2;2;2;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:44;A  5;1;0;0;1;2;1;35;0;100;2;2;3;2;0;0;0;0;0;0;;;1;2;0;0;;;0;0;;;;;;
29.02.2024;22:43;A  5;1;0;0;0;0;1;15;0;100;0;0;0;0;0;0;0;0;0;0;;;2;3;0;0;;;0;0;;;;;;
29.02.2024;22:42;A  5;1;0;0;1;2;1;20;0;100;0;0;0;0;0;0;0;0;0;0;;;2;3;0;0;;;0;0;;;;;;
29.02.2024;22:41;A  5;1;0;0;1;3;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;1;2;;;0;0;;;;;;
29.02.2024;22:40;A  5;1;0;0;0;0;0;0;0;100;1;2;5;8;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:39;A  5;1;0;0;1;2;0;0;0;100;1;48;3;4;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:38;A  5;1;0;0;0;0;0;0;0;100;1;1;1;1;0;0;0;0;0;0;;;1;2;0;0;;;0;0;;;;;;
29.02.2024;22:37;A  5;1;0;0;1;3;2;36;0;100;1;1;2;2;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:36;A  5;1;0;0;0;0;0;0;0;100;3;44;5;6;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:35;A  5;1;0;27;0;0;0;0;0;100;0;0;2;2;1;2;0;0;1;2;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:34;A  5;1;1;32;0;0;0;12;0;100;1;3;1;1;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:33;A  5;1;1;18;1;2;1;16;0;100;1;37;3;7;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:32;A  5;1;0;0;0;0;0;0;0;100;0;0;1;13;1;2;0;0;1;2;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:31;A  5;1;0;0;1;3;0;0;0;100;0;0;4;19;0;0;0;0;1;2;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:30;A  5;1;0;0;0;0;0;0;0;100;0;0;3;4;1;2;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:29;A  5;1;0;0;0;0;0;0;0;100;2;5;2;3;0;0;0;0;0;0;;;1;2;0;0;;;0;0;;;;;;
29.02.2024;22:28;A  5;1;2;1;2;2;0;0;0;100;0;0;1;2;0;0;0;0;0;0;;;2;3;0;0;;;0;0;;;;;;
29.02.2024;22:27;A  5;1;1;2;1;1;0;0;0;100;0;0;4;7;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:26;A  5;1;0;0;0;0;0;0;0;100;0;0;6;26;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:25;A  5;1;0;0;0;0;1;15;0;100;0;0;1;2;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:24;A  5;1;0;0;0;0;0;0;0;100;1;1;1;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:23;A  5;1;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:22;A  5;1;1;38;0;0;0;0;0;100;4;36;3;3;0;0;0;0;1;2;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:21;A  5;1;1;22;1;2;0;30;0;100;0;0;2;4;1;2;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:20;A  5;1;0;0;0;0;3;49;0;100;0;0;0;0;0;0;0;0;1;2;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:19;A  5;1;0;0;1;1;0;0;0;100;0;0;3;6;1;2;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:18;A  5;1;1;2;0;0;0;0;0;100;1;1;2;2;1;2;0;0;2;3;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:17;A  5;1;0;0;1;0;0;0;0;100;0;0;1;1;3;5;0;0;2;3;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:16;A  5;1;0;0;2;2;1;1;0;100;0;9;0;0;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:15;A  5;1;3;6;1;49;0;0;0;100;1;4;3;4;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:14;A  5;1;0;0;1;2;0;0;0;100;1;3;3;4;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:13;A  5;1;0;0;0;0;0;0;0;100;0;0;1;1;0;0;0;0;0;0;;;0;1;0;0;;;0;0;;;;;;
29.02.2024;22:12;A  5;1;0;0;0;0;0;0;0;100;2;24;5;5;0;0;0;0;0;0;;;4;6;0;0;;;0;0;;;;;;
29.02.2024;22:11;A  5;1;0;0;0;0;0;0;0;100;0;0;2;3;0;0;0;0;0;0;;;0;0;1;2;;;0;0;;;;;;
29.02.2024;22:10;A  5;1;0;0;0;0;0;0;0;100;0;0;5;43;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:09;A  5;1;0;0;2;16;0;0;0;100;1;0;5;7;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:08;A  5;1;0;0;1;1;0;0;0;100;0;0;3;5;0;0;0;0;0;0;;;1;2;0;0;;;0;0;;;;;;
29.02.2024;22:07;A  5;1;0;0;0;0;0;0;0;100;0;0;6;16;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:06;A  5;1;1;1;1;1;0;0;0;100;1;2;2;3;0;0;0;0;1;2;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:05;A  5;1;1;41;0;0;0;0;0;100;0;0;3;11;1;1;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:04;A  5;1;0;0;1;1;0;0;0;100;0;0;3;4;0;0;0;0;0;0;;;0;0;0;0;;;0;0;;;;;;
29.02.2024;22:03;A  5;1;0;15;0;0;1;22;0;100;1;14;5;9;0;0;0;0;0;0;;;1;2;0;0;;;0;0;;;;;;
29.02.2024;22:02;A  5;1;1;0;3;3;0;6;0;100;0;0;0;0;0;0;0;0;1;2;;;0;0;0;0;;;0;0;;;;;;
