Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V22Z;V22B;V81Z;V81B;V82Z;V82B;V321Z;V321B;TF32aZ;TF32aB;TF32bZ;TF32bB;TBS32aZ;TBS32aB;TBS32bZ;TBS32bB;V1_IOZ;V1_IOB;V2_IOZ;V2_IOB;V3_IOZ;V3_IOB;EG21Z;EG21B;EG22Z;EG22B;EG23Z;EG23B;EG24Z;EG24B
16.10.2024;22:49;A 99;1;0;0;0;0;0;0;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:48;A 99;1;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:47;A 99;1;1;6;0;0;0;0;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:46;A 99;1;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:45;A 99;1;0;0;2;11;0;0;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:44;A 99;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:43;A 99;1;0;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:42;A 99;1;0;0;2;37;0;0;0;0;1;3;0;0;0;0;1;1;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:41;A 99;1;0;0;2;13;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:40;A 99;1;1;3;5;23;0;0;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:39;A 99;1;0;0;6;10;1;1;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:38;A 99;1;2;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:37;A 99;1;0;0;1;5;1;1;3;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:36;A 99;1;0;0;3;12;0;0;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:35;A 99;1;0;0;1;3;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:34;A 99;1;0;0;1;5;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:33;A 99;1;1;1;4;28;1;1;3;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:32;A 99;1;0;0;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:31;A 99;1;0;0;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:30;A 99;1;0;0;2;7;1;1;2;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:29;A 99;1;0;0;1;11;0;0;3;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:28;A 99;1;1;2;1;13;0;0;3;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:27;A 99;1;0;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:26;A 99;1;1;2;3;4;2;2;2;9;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:25;A 99;1;0;0;6;11;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:24;A 99;1;1;5;4;18;2;0;3;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:23;A 99;1;1;1;3;7;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:22;A 99;1;0;0;5;25;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:21;A 99;1;1;2;2;17;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:20;A 99;1;0;0;2;7;0;0;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:19;A 99;1;0;0;8;15;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:18;A 99;1;2;7;1;9;1;1;3;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:17;A 99;1;0;0;2;2;1;4;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:16;A 99;1;3;15;4;21;2;5;4;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:15;A 99;1;0;0;1;4;2;2;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:14;A 99;1;0;3;2;11;1;1;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:13;A 99;1;3;7;2;45;0;0;2;10;0;0;1;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:12;A 99;1;0;0;2;15;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:11;A 99;1;2;2;2;20;0;49;1;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:10;A 99;1;0;0;2;21;2;88;2;88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:09;A 99;1;0;0;2;2;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:08;A 99;1;0;0;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:07;A 99;1;1;4;1;9;0;0;0;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:06;A 99;1;0;0;1;9;2;1;2;35;1;7;1;1;0;0;1;1;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:05;A 99;1;0;0;4;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:04;A 99;1;0;0;1;5;0;0;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:03;A 99;1;0;0;2;3;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:02;A 99;1;0;0;2;4;1;1;1;32;1;3;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;22:01;A 99;1;0;0;6;10;0;0;4;19;0;0;0;0;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;
16.10.2024;22:00;A 99;1;0;0;5;15;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:59;A 99;1;0;0;3;23;1;1;3;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:58;A 99;1;0;0;0;0;3;4;3;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:57;A 99;1;0;0;2;1;0;0;3;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:56;A 99;1;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:55;A 99;1;1;2;2;2;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:54;A 99;1;0;0;3;11;1;0;1;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:53;A 99;1;0;0;2;2;0;0;1;28;1;10;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:52;A 99;1;2;2;4;9;0;0;4;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:51;A 99;1;0;0;4;16;1;1;3;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:50;A 99;1;1;4;4;23;1;0;1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:49;A 99;1;0;0;1;3;0;0;2;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:48;A 99;1;0;0;3;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:47;A 99;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:46;A 99;1;0;0;1;3;0;0;2;23;0;0;0;0;1;1;0;0;1;3;0;0;0;0;;;;;;;;;;
16.10.2024;21:45;A 99;1;1;45;2;9;0;0;2;14;1;5;1;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:44;A 99;1;0;0;5;14;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:43;A 99;1;0;0;2;3;2;10;1;44;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:42;A 99;1;0;0;5;18;1;14;2;45;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:41;A 99;1;1;3;5;8;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:40;A 99;1;2;7;3;11;2;3;4;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:39;A 99;1;1;2;2;15;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:38;A 99;1;2;8;4;20;0;0;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:37;A 99;1;0;0;6;13;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:36;A 99;1;0;0;2;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:35;A 99;1;0;0;0;0;0;0;2;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:34;A 99;1;0;0;2;7;0;0;3;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:33;A 99;1;0;0;2;8;0;0;1;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:32;A 99;1;2;3;3;16;1;2;5;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:31;A 99;1;2;2;7;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:30;A 99;1;0;0;4;23;2;1;3;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:29;A 99;1;0;0;3;5;1;1;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:28;A 99;1;0;0;3;8;0;0;2;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:27;A 99;1;0;0;0;0;0;0;2;22;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:26;A 99;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:25;A 99;1;1;24;4;29;1;1;0;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:24;A 99;1;2;32;5;34;0;0;2;27;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:23;A 99;1;3;6;2;15;1;0;4;26;0;0;1;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:22;A 99;1;2;15;2;22;0;0;4;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:21;A 99;1;0;0;1;5;0;0;2;22;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:20;A 99;1;1;6;4;9;1;1;6;33;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:19;A 99;1;2;6;2;10;1;2;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:18;A 99;1;0;0;2;3;2;1;3;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:17;A 99;1;2;8;1;9;0;0;4;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:16;A 99;1;2;4;2;3;0;0;1;6;1;5;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:15;A 99;1;1;10;4;25;0;0;2;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:14;A 99;1;1;7;1;0;1;2;3;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:13;A 99;1;2;4;1;4;0;0;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:12;A 99;1;2;6;3;6;0;0;2;23;0;0;0;0;1;1;0;0;1;1;0;0;0;0;;;;;;;;;;
16.10.2024;21:11;A 99;1;3;9;2;1;0;0;3;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:10;A 99;1;1;4;2;2;1;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:09;A 99;1;2;7;6;16;0;0;2;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:08;A 99;1;2;4;5;10;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:07;A 99;1;2;9;0;0;0;0;2;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:06;A 99;1;1;4;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:05;A 99;1;0;0;1;5;0;0;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:04;A 99;1;4;10;6;22;0;0;3;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:03;A 99;1;0;0;7;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:02;A 99;1;2;44;1;14;2;1;1;9;1;6;0;0;0;0;0;0;1;2;0;0;0;0;;;;;;;;;;
16.10.2024;21:01;A 99;1;0;0;0;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;21:00;A 99;1;2;7;0;0;1;13;3;50;2;8;1;1;0;0;1;3;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:59;A 99;1;1;10;3;8;0;0;1;52;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:58;A 99;1;1;9;2;4;1;1;4;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:57;A 99;1;1;2;1;8;1;22;2;41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:56;A 99;1;1;3;3;11;1;1;3;18;0;0;0;0;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;
16.10.2024;20:55;A 99;1;1;4;2;6;2;2;2;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:54;A 99;1;1;4;1;4;2;3;1;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:53;A 99;1;1;13;0;0;3;3;1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:52;A 99;1;1;6;1;31;0;0;3;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:51;A 99;1;0;0;4;5;0;0;1;7;1;3;1;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:50;A 99;1;2;2;6;22;0;0;3;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:49;A 99;1;3;15;1;8;1;0;3;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:48;A 99;1;5;15;0;0;0;0;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:47;A 99;1;2;16;0;42;1;5;1;66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:46;A 99;1;0;0;1;16;0;0;2;8;0;0;0;0;1;1;0;0;1;1;0;0;0;0;;;;;;;;;;
16.10.2024;20:45;A 99;1;2;6;3;4;2;3;4;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:44;A 99;1;2;50;0;47;2;9;3;17;1;22;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:43;A 99;1;5;14;1;11;0;0;4;20;1;2;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:42;A 99;1;1;10;1;45;1;19;2;76;1;4;1;1;0;0;4;12;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:41;A 99;1;3;9;4;22;0;0;1;21;0;0;1;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:40;A 99;1;2;13;3;15;2;1;5;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:39;A 99;1;2;18;0;29;0;23;1;29;1;9;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:38;A 99;1;2;9;2;13;1;17;5;31;1;5;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:37;A 99;1;1;3;2;11;1;1;3;19;1;7;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:36;A 99;1;2;6;2;11;2;3;2;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:35;A 99;1;1;16;2;23;0;0;2;50;0;0;0;0;1;1;0;0;1;1;0;0;0;0;;;;;;;;;;
16.10.2024;20:34;A 99;1;2;3;0;0;1;1;4;24;0;0;1;1;0;0;1;1;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:33;A 99;1;1;3;3;4;1;0;2;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:32;A 99;1;2;5;4;8;1;3;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:31;A 99;1;0;0;1;3;1;34;2;61;1;5;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:30;A 99;1;1;4;0;0;0;0;2;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:29;A 99;1;2;6;3;7;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:28;A 99;1;1;4;0;0;0;0;3;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:27;A 99;1;3;21;2;10;1;1;1;41;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:26;A 99;1;3;8;2;22;1;1;3;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:25;A 99;1;2;8;2;6;3;6;3;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:24;A 99;1;4;6;0;4;2;3;5;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:23;A 99;1;0;15;2;19;2;3;3;54;0;0;0;0;2;4;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:22;A 99;1;1;23;3;17;0;0;2;48;1;6;0;0;1;0;1;1;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:21;A 99;1;3;12;5;25;2;2;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:20;A 99;1;1;4;1;12;0;0;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:19;A 99;1;2;11;3;19;1;1;4;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:18;A 99;1;2;7;0;0;0;0;2;31;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:17;A 99;1;2;5;4;13;2;13;3;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:16;A 99;1;1;3;2;10;0;0;2;44;1;5;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:15;A 99;1;0;2;3;9;1;0;0;7;0;0;0;0;1;1;0;0;2;4;0;0;0;0;;;;;;;;;;
16.10.2024;20:14;A 99;1;3;13;2;14;0;0;3;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:13;A 99;1;1;3;1;3;0;0;1;28;0;0;0;0;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;
16.10.2024;20:12;A 99;1;2;8;4;8;0;0;3;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:11;A 99;1;0;0;3;7;0;0;2;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:10;A 99;1;4;22;3;11;2;2;4;69;0;0;1;1;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;
16.10.2024;20:09;A 99;1;0;42;1;76;2;18;4;56;1;12;1;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:08;A 99;1;1;14;3;19;2;46;6;59;0;0;0;0;1;1;0;0;1;1;0;0;0;0;;;;;;;;;;
16.10.2024;20:07;A 99;1;2;5;7;17;2;92;2;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:06;A 99;1;2;10;9;15;1;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:05;A 99;1;0;0;0;6;0;0;6;36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:04;A 99;1;3;9;1;28;1;22;2;54;1;8;1;1;0;0;1;3;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:03;A 99;1;0;0;2;3;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:02;A 99;1;0;0;3;5;0;0;3;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:01;A 99;1;1;6;2;24;0;0;3;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;20:00;A 99;1;4;18;7;32;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;19:59;A 99;1;1;4;4;9;1;0;5;39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;19:58;A 99;1;3;7;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;19:57;A 99;1;0;0;2;17;0;0;2;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;19:56;A 99;1;1;5;2;6;1;0;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;19:55;A 99;1;1;9;3;4;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;19:54;A 99;1;6;22;1;8;0;0;4;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;19:53;A 99;1;3;55;3;53;1;2;1;48;1;4;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;19:52;A 99;1;2;21;2;19;1;2;1;27;0;0;2;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;19:51;A 99;1;2;44;5;63;1;27;2;28;1;11;1;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;19:50;A 99;1;0;6;3;16;0;0;4;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;19:49;A 99;1;4;10;1;6;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;19:48;A 99;1;9;18;7;22;0;0;4;31;1;7;1;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;19:47;A 99;1;1;26;0;55;0;36;1;15;0;0;0;0;1;1;0;0;1;5;0;0;0;0;;;;;;;;;;
16.10.2024;19:46;A 99;1;0;0;1;3;1;4;2;18;0;0;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;19:45;A 99;1;1;4;4;11;0;0;5;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;19:44;A 99;1;0;0;6;14;2;1;2;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;19:43;A 99;1;1;2;1;6;3;2;3;19;1;4;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;19:42;A 99;1;3;21;3;18;4;3;3;57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;19:41;A 99;1;0;0;0;0;0;0;4;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;19:40;A 99;1;1;3;4;5;0;0;2;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;19:39;A 99;1;3;16;3;16;0;0;5;38;0;0;1;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;19:38;A 99;1;0;0;0;0;0;0;2;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;19:37;A 99;1;3;10;5;10;0;0;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
16.10.2024;19:36;A 99;1;5;35;5;54;4;4;3;53;1;11;1;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
