Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V22Z;V22B;V81Z;V81B;V321Z;V321B;TF32Z;TF32B;TB32Z;TB32B;TF32aZ;TF32aB;TB32aZ;TB32aB
10.07.2024;01:28;A116;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;01:27;A116;1;3;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;01:26;A116;1;1;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;01:25;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;01:24;A116;1;0;0;3;4;1;1;0;0;0;0;0;0;0;0;0;0
10.07.2024;01:23;A116;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;01:22;A116;1;0;0;1;5;1;1;0;0;0;0;0;0;0;0;0;0
10.07.2024;01:21;A116;1;2;3;1;6;1;2;0;0;0;0;0;0;0;0;0;0
10.07.2024;01:20;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;01:19;A116;1;2;3;1;5;1;1;0;0;0;0;0;0;0;0;0;0
10.07.2024;01:18;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;01:17;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;01:16;A116;1;0;0;1;7;1;2;0;0;0;0;0;0;0;0;0;0
10.07.2024;01:15;A116;1;1;3;1;5;1;1;0;0;0;0;0;0;0;0;0;0
10.07.2024;01:14;A116;1;0;0;1;8;2;3;0;0;0;0;0;0;0;0;0;0
10.07.2024;01:13;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;01:12;A116;1;0;0;1;10;2;3;0;0;0;0;0;0;0;0;0;0
10.07.2024;01:11;A116;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;01:10;A116;1;1;3;1;6;1;1;0;0;0;0;0;0;0;0;0;0
10.07.2024;01:09;A116;1;0;0;1;5;1;1;0;0;0;0;0;0;0;0;0;0
10.07.2024;01:08;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;01:07;A116;1;0;0;1;4;1;2;0;0;0;0;0;0;0;0;0;0
10.07.2024;01:06;A116;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;01:05;A116;1;2;7;1;2;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;01:04;A116;1;0;0;1;4;1;1;0;0;0;0;0;0;0;0;0;0
10.07.2024;01:03;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;01:02;A116;1;2;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;01:01;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;01:00;A116;1;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0
10.07.2024;00:59;A116;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:58;A116;1;0;0;3;9;1;1;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:57;A116;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:56;A116;1;2;3;0;4;1;1;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:55;A116;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:54;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:53;A116;1;1;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0
10.07.2024;00:52;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:51;A116;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:50;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:49;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:48;A116;1;0;0;1;7;2;2;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:47;A116;1;2;3;1;7;1;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:46;A116;1;0;0;1;5;1;2;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:45;A116;1;2;3;0;0;0;0;0;0;0;0;1;12;0;0;0;0
10.07.2024;00:44;A116;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:43;A116;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:42;A116;1;0;0;1;4;1;1;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:41;A116;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:40;A116;1;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:39;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:38;A116;1;3;3;1;5;1;1;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:37;A116;1;3;5;1;3;1;1;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:36;A116;1;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0
10.07.2024;00:35;A116;1;0;0;0;0;0;0;0;0;0;0;1;7;0;0;0;0
10.07.2024;00:34;A116;1;0;0;1;6;1;1;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:33;A116;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
10.07.2024;00:32;A116;1;1;12;4;28;2;55;0;0;0;0;1;4;0;0;0;0
10.07.2024;00:31;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:30;A116;1;3;7;1;6;1;2;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:29;A116;1;0;0;1;10;2;4;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:28;A116;1;8;22;5;9;2;3;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:27;A116;1;2;9;2;3;1;1;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:26;A116;1;0;0;5;5;2;2;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:25;A116;1;0;0;1;4;1;1;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:24;A116;1;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:23;A116;1;2;4;1;5;1;1;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:22;A116;1;1;1;1;6;1;1;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:21;A116;1;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:20;A116;1;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0
10.07.2024;00:19;A116;1;2;3;1;12;1;1;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:18;A116;1;1;5;4;6;2;2;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:17;A116;1;4;6;1;8;2;3;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:16;A116;1;0;0;2;10;2;2;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:15;A116;1;1;7;1;5;2;1;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:14;A116;1;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:13;A116;1;0;0;1;5;1;1;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:12;A116;1;2;7;3;7;4;5;0;0;0;0;2;2;0;0;0;0
10.07.2024;00:11;A116;1;4;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:10;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:09;A116;1;0;0;3;16;3;4;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:08;A116;1;1;1;1;5;1;1;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:07;A116;1;3;8;0;0;0;0;0;0;0;0;1;1;0;0;0;0
10.07.2024;00:06;A116;1;0;0;2;3;1;1;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:05;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:04;A116;1;5;6;1;6;2;3;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:03;A116;1;1;3;1;5;1;2;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:02;A116;1;0;0;2;17;1;5;0;0;0;0;1;9;0;0;0;0
10.07.2024;00:01;A116;1;3;3;1;5;1;1;0;0;0;0;0;0;0;0;0;0
10.07.2024;00:00;A116;1;1;2;1;6;1;1;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:59;A116;1;0;0;1;5;1;2;0;0;0;0;1;8;0;0;0;0
09.07.2024;23:58;A116;1;1;48;1;7;1;2;0;0;0;0;1;8;1;1;0;0
09.07.2024;23:57;A116;1;2;13;2;14;1;2;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:56;A116;1;0;0;3;2;1;0;0;0;0;0;1;9;0;0;0;0
09.07.2024;23:55;A116;1;0;0;0;0;1;0;0;0;0;0;1;8;0;0;0;0
09.07.2024;23:54;A116;1;0;0;1;8;1;2;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:53;A116;1;4;5;1;14;1;5;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:52;A116;1;4;9;2;11;2;3;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:51;A116;1;1;4;3;12;2;2;0;0;0;0;1;18;0;0;0;0
09.07.2024;23:50;A116;1;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:49;A116;1;2;8;1;3;2;3;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:48;A116;1;1;3;2;12;1;0;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:47;A116;1;2;5;1;5;1;0;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:46;A116;1;0;0;0;0;0;0;0;0;0;0;2;5;0;0;0;0
09.07.2024;23:45;A116;1;3;11;1;4;1;0;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:44;A116;1;5;13;0;0;0;0;0;0;0;0;1;2;0;0;0;0
09.07.2024;23:43;A116;1;3;6;6;13;3;6;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:42;A116;1;0;0;2;14;3;5;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:41;A116;1;1;4;2;13;2;4;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:40;A116;1;0;0;2;6;2;4;0;0;0;0;1;3;0;0;0;0
09.07.2024;23:39;A116;1;3;2;2;10;1;1;0;0;0;0;1;3;0;0;0;0
09.07.2024;23:38;A116;1;2;3;4;19;4;10;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:37;A116;1;8;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:36;A116;1;4;11;1;7;2;2;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:35;A116;1;5;7;2;15;3;6;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:34;A116;1;0;0;1;9;2;3;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:33;A116;1;7;14;3;23;4;10;0;0;0;0;1;5;0;0;0;0
09.07.2024;23:32;A116;1;3;8;3;3;1;1;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:31;A116;1;1;5;2;8;3;5;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:30;A116;1;4;56;3;17;4;5;0;0;0;0;2;3;0;0;0;0
09.07.2024;23:29;A116;1;3;10;2;3;1;2;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:28;A116;1;2;3;1;5;1;1;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:27;A116;1;5;12;1;2;2;2;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:26;A116;1;0;0;2;21;4;5;0;0;0;0;1;1;0;0;0;0
09.07.2024;23:25;A116;1;0;0;0;0;1;1;0;0;0;0;2;3;0;0;0;0
09.07.2024;23:24;A116;1;5;11;6;14;2;3;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:23;A116;1;2;3;1;5;1;1;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:22;A116;1;2;3;3;3;1;0;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:21;A116;1;1;3;1;14;3;4;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:20;A116;1;2;5;7;19;4;6;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:19;A116;1;3;11;2;11;2;2;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:18;A116;1;2;8;1;18;4;5;0;0;0;0;1;3;0;0;0;0
09.07.2024;23:17;A116;1;2;5;4;8;2;3;0;0;0;0;1;1;0;0;0;0
09.07.2024;23:16;A116;1;5;9;1;6;1;2;0;0;0;0;1;3;0;0;0;0
09.07.2024;23:15;A116;1;3;2;1;9;2;3;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:14;A116;1;3;31;2;8;3;4;0;0;0;0;2;15;0;0;0;0
09.07.2024;23:13;A116;1;3;32;2;8;2;3;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:12;A116;1;2;38;3;11;2;3;0;0;0;0;1;2;0;0;0;0
09.07.2024;23:11;A116;1;4;15;2;9;2;3;1;1;0;0;0;0;0;0;0;0
09.07.2024;23:10;A116;1;7;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:09;A116;1;10;22;2;8;2;1;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:08;A116;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:07;A116;1;7;21;1;4;2;3;0;0;0;0;1;3;0;0;0;0
09.07.2024;23:06;A116;1;3;13;5;21;3;5;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:05;A116;1;6;17;1;6;1;1;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:04;A116;1;3;14;4;15;3;5;0;0;0;0;2;4;0;0;0;0
09.07.2024;23:03;A116;1;3;11;2;19;5;9;0;0;0;0;2;3;0;0;0;0
09.07.2024;23:02;A116;1;3;7;3;32;1;2;0;0;0;0;2;6;0;0;0;0
09.07.2024;23:01;A116;1;0;0;4;24;4;10;0;0;0;0;0;0;0;0;0;0
09.07.2024;23:00;A116;1;1;30;4;10;2;4;1;1;0;0;1;14;0;0;0;0
09.07.2024;22:59;A116;1;1;37;3;4;1;0;0;0;0;0;0;0;0;0;0;0
09.07.2024;22:58;A116;1;1;4;0;11;2;3;0;0;1;1;1;12;0;0;0;0
09.07.2024;22:57;A116;1;1;3;2;24;6;12;0;0;0;0;0;2;0;0;0;0
09.07.2024;22:56;A116;1;11;11;4;23;1;2;1;1;0;0;1;19;0;0;0;0
09.07.2024;22:55;A116;1;5;12;3;16;3;5;0;0;0;0;0;0;0;0;0;0
09.07.2024;22:54;A116;1;3;7;2;15;4;6;0;0;0;0;0;0;0;0;0;0
09.07.2024;22:53;A116;1;2;3;2;9;2;3;0;0;0;0;0;0;0;0;0;0
09.07.2024;22:52;A116;1;3;8;2;4;0;0;0;0;0;0;0;0;0;0;0;0
09.07.2024;22:51;A116;1;2;3;1;5;1;1;0;0;0;0;0;0;0;0;0;0
09.07.2024;22:50;A116;1;1;3;5;8;2;3;0;0;0;0;1;15;0;0;0;0
09.07.2024;22:49;A116;1;1;4;4;11;2;4;0;0;0;0;1;1;0;0;0;0
09.07.2024;22:48;A116;1;5;9;2;15;4;5;0;0;0;0;1;6;0;0;0;0
09.07.2024;22:47;A116;1;4;14;2;18;1;1;0;0;0;0;0;0;0;0;0;0
09.07.2024;22:46;A116;1;0;0;6;14;3;8;0;0;0;0;0;0;0;0;0;0
09.07.2024;22:45;A116;1;1;5;2;11;2;3;0;0;0;0;0;0;0;0;0;0
09.07.2024;22:44;A116;1;6;31;2;9;2;2;0;0;0;0;0;0;0;0;0;0
09.07.2024;22:43;A116;1;2;37;2;13;3;3;0;0;0;0;0;0;0;0;0;0
09.07.2024;22:42;A116;1;5;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.07.2024;22:41;A116;1;2;54;1;8;2;5;0;0;1;1;2;18;0;0;0;0
09.07.2024;22:40;A116;1;2;7;1;10;2;3;0;0;0;0;0;0;0;0;0;0
09.07.2024;22:39;A116;1;1;9;2;22;4;8;0;0;0;0;0;0;0;0;0;0
09.07.2024;22:38;A116;1;3;4;3;16;4;8;0;0;0;0;0;0;0;0;0;0
09.07.2024;22:37;A116;1;2;9;3;11;2;4;0;0;0;0;1;6;0;0;0;0
09.07.2024;22:36;A116;1;3;7;2;10;2;3;0;0;0;0;1;0;0;0;0;0
09.07.2024;22:35;A116;1;3;5;5;12;2;2;0;0;0;0;0;0;0;0;0;0
09.07.2024;22:34;A116;1;2;7;3;10;2;2;0;0;0;0;0;0;0;0;0;0
09.07.2024;22:33;A116;1;0;0;5;28;7;9;0;0;0;0;1;1;0;0;0;0
09.07.2024;22:32;A116;1;2;8;5;59;10;21;0;0;0;0;2;4;0;0;0;0
09.07.2024;22:31;A116;1;3;7;2;10;2;2;0;0;0;0;0;0;0;0;0;0
09.07.2024;22:30;A116;1;4;15;3;4;2;3;0;0;0;0;1;1;0;0;0;0
09.07.2024;22:29;A116;1;4;13;7;19;5;8;0;0;0;0;1;3;0;0;0;0
09.07.2024;22:28;A116;1;2;47;5;17;2;3;0;0;0;0;0;0;0;0;0;0
09.07.2024;22:27;A116;1;2;3;3;2;1;1;0;0;0;0;0;0;0;0;0;0
09.07.2024;22:26;A116;1;6;19;2;4;1;1;0;0;0;0;0;0;0;0;0;0
09.07.2024;22:25;A116;1;5;11;1;4;0;0;0;0;0;0;0;0;0;0;0;0
09.07.2024;22:24;A116;1;0;0;7;36;8;15;0;0;0;0;0;0;0;0;0;0
09.07.2024;22:23;A116;1;5;12;8;30;7;12;0;0;0;0;2;1;0;0;0;0
09.07.2024;22:22;A116;1;5;7;1;4;1;0;0;0;0;0;0;0;0;0;0;0
09.07.2024;22:21;A116;1;7;58;3;57;2;5;0;0;0;0;1;17;0;0;0;0
09.07.2024;22:20;A116;1;1;5;4;16;4;7;1;1;0;0;2;5;0;0;0;0
09.07.2024;22:19;A116;1;2;10;9;31;5;9;0;0;0;0;0;0;0;0;0;0
09.07.2024;22:18;A116;1;2;12;5;32;5;16;0;0;0;0;1;1;0;0;0;0
09.07.2024;22:17;A116;1;4;6;2;26;3;11;0;0;0;0;2;7;0;0;0;0
09.07.2024;22:16;A116;1;2;14;3;18;4;11;0;0;0;0;0;0;0;0;0;0
09.07.2024;22:15;A116;1;6;17;6;24;3;6;0;0;0;0;0;0;0;0;0;0
09.07.2024;22:14;A116;1;4;35;0;0;0;0;0;0;0;0;2;32;0;0;1;1
09.07.2024;22:13;A116;1;3;65;1;11;7;8;1;1;0;0;2;5;1;2;0;0
09.07.2024;22:12;A116;1;7;43;6;34;5;8;0;0;0;0;3;9;0;0;0;0
09.07.2024;22:11;A116;1;2;51;4;17;3;3;0;0;0;0;2;7;0;0;0;0
09.07.2024;22:10;A116;1;3;6;3;15;3;4;0;0;0;0;0;0;0;0;0;0
09.07.2024;22:09;A116;1;1;4;2;12;3;4;0;0;0;0;0;0;0;0;0;0
09.07.2024;22:08;A116;1;4;19;5;35;8;13;0;0;0;0;0;0;0;0;0;0
09.07.2024;22:07;A116;1;2;7;3;22;5;11;0;0;0;0;2;4;0;0;0;0
09.07.2024;22:06;A116;1;2;5;8;35;6;12;0;0;0;0;1;0;0;0;0;0
09.07.2024;22:05;A116;1;4;11;4;15;3;5;0;0;0;0;1;3;0;0;0;0
09.07.2024;22:04;A116;1;7;22;1;1;0;0;0;0;0;0;0;0;0;0;0;0
09.07.2024;22:03;A116;1;7;12;7;21;5;7;0;0;0;0;3;7;0;0;0;0
09.07.2024;22:02;A116;1;5;9;3;30;7;26;0;0;0;0;3;9;0;0;0;0
09.07.2024;22:01;A116;1;5;13;5;38;7;15;0;0;0;0;0;0;0;0;0;0
09.07.2024;22:00;A116;1;4;31;7;27;3;7;0;0;0;0;3;28;0;0;0;0
09.07.2024;21:59;A116;1;2;76;3;12;2;4;1;1;0;0;1;0;1;1;0;0
09.07.2024;21:58;A116;1;1;4;4;38;8;16;0;0;0;0;0;0;0;0;0;0
09.07.2024;21:57;A116;1;2;7;4;16;4;6;0;0;0;0;0;0;0;0;0;0
09.07.2024;21:56;A116;1;2;14;1;3;1;1;0;0;0;0;0;0;0;0;0;0
09.07.2024;21:55;A116;1;9;20;3;13;3;4;0;0;0;0;1;2;0;0;0;0
09.07.2024;21:54;A116;1;3;25;2;32;8;13;0;0;0;0;1;1;0;0;0;0
09.07.2024;21:53;A116;1;0;0;5;43;8;16;0;0;0;0;1;1;0;0;0;0
09.07.2024;21:52;A116;1;1;3;2;14;2;4;0;0;0;0;0;0;0;0;0;0
09.07.2024;21:51;A116;1;6;13;2;27;6;9;0;0;0;0;1;1;0;0;0;0
09.07.2024;21:50;A116;1;2;11;3;29;7;21;0;0;0;0;4;7;0;0;0;0
09.07.2024;21:49;A116;1;6;33;3;54;1;39;0;0;0;0;1;1;0;0;0;0
09.07.2024;21:48;A116;1;6;14;2;18;3;6;0;0;0;0;1;3;0;0;0;0
09.07.2024;21:47;A116;1;2;13;3;14;4;10;0;0;0;0;2;5;0;0;0;0
09.07.2024;21:46;A116;1;3;34;1;74;5;13;0;0;1;1;1;18;0;0;1;1
09.07.2024;21:45;A116;1;4;28;2;9;1;1;0;0;0;0;0;18;0;0;0;0
09.07.2024;21:44;A116;1;1;54;3;16;3;5;0;0;0;0;1;13;1;1;0;0
09.07.2024;21:43;A116;1;3;18;3;17;4;9;0;0;0;0;0;0;0;0;0;0
09.07.2024;21:42;A116;1;1;6;4;21;4;7;0;0;0;0;1;1;0;0;0;0
09.07.2024;21:41;A116;1;4;24;2;16;5;10;0;0;0;0;1;3;0;0;0;0
09.07.2024;21:40;A116;1;4;26;4;44;5;11;1;1;0;0;1;16;1;1;0;0
09.07.2024;21:39;A116;1;1;4;4;23;5;8;0;0;0;0;2;2;0;0;0;0
09.07.2024;21:38;A116;1;5;20;3;27;5;10;0;0;0;0;0;0;0;0;0;0
09.07.2024;21:37;A116;1;5;22;4;15;3;5;0;0;0;0;1;0;0;0;0;0
09.07.2024;21:36;A116;1;2;8;1;5;2;5;0;0;0;0;0;0;0;0;0;0
09.07.2024;21:35;A116;1;5;23;3;16;3;5;0;0;0;0;0;0;0;0;0;0
09.07.2024;21:34;A116;1;2;7;2;38;9;20;0;0;0;0;0;0;0;0;0;0
09.07.2024;21:33;A116;1;2;12;3;15;3;7;0;0;0;0;0;0;0;0;0;0
09.07.2024;21:32;A116;1;2;5;4;29;8;31;0;0;0;0;2;7;0;0;0;0
09.07.2024;21:31;A116;1;2;38;1;11;1;2;0;0;0;0;2;17;1;1;0;0
09.07.2024;21:30;A116;1;3;63;5;30;6;8;1;1;0;0;3;10;0;0;0;0
09.07.2024;21:29;A116;1;3;13;5;25;5;11;0;0;0;0;0;0;0;0;0;0
09.07.2024;21:28;A116;1;3;8;4;37;8;16;0;0;0;0;1;1;0;0;0;0
09.07.2024;21:27;A116;1;5;28;2;13;3;6;0;0;0;0;0;0;0;0;0;0
09.07.2024;21:26;A116;1;5;17;6;29;6;15;0;0;0;0;1;0;0;0;0;0
09.07.2024;21:25;A116;1;3;16;1;10;2;6;0;0;0;0;0;0;0;0;0;0
09.07.2024;21:24;A116;1;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
09.07.2024;21:23;A116;1;2;19;2;11;4;11;0;0;0;0;2;7;0;0;0;0
09.07.2024;21:22;A116;1;3;22;4;55;5;9;1;1;0;0;2;11;0;0;0;0
09.07.2024;21:21;A116;1;4;19;4;24;6;15;0;0;0;0;1;3;0;0;0;0
09.07.2024;21:20;A116;1;2;18;4;34;6;18;0;0;0;0;2;10;0;0;0;0
09.07.2024;21:19;A116;1;5;27;3;14;2;4;0;0;0;0;0;0;0;0;0;0
09.07.2024;21:18;A116;1;0;0;4;29;5;13;0;0;0;0;2;5;0;0;0;0
09.07.2024;21:17;A116;1;2;16;5;44;9;17;0;0;0;0;1;4;0;0;0;0
09.07.2024;21:16;A116;1;4;14;6;32;5;10;0;0;0;0;0;0;0;0;0;0
09.07.2024;21:15;A116;1;6;24;2;25;6;12;0;0;0;0;2;4;0;0;0;0
09.07.2024;21:14;A116;1;3;11;4;28;5;15;0;0;0;0;1;1;0;0;0;0
