Datum;Uhrzeit;Bezeichnung;Intervall;V21Z;V21B;V81Z;V81B;TF32Z;TF32B;TF32aZ;TF32aB;TB32Z;TB32B;TB32aZ;TB32aB;MP1Z;MP1B;MP2Z;MP2B;MP3Z;MP3B;MP4Z;MP4B;MP5Z;MP5B;MP6Z;MP6B
30.10.2024;00:12;A127;1;0;0;2;4;0;0;0;0;0;0;0;0;;;;;;;;;;;;
30.10.2024;00:11;A127;1;1;7;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
30.10.2024;00:10;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
30.10.2024;00:09;A127;1;0;0;1;2;0;0;0;0;0;0;0;0;;;;;;;;;;;;
30.10.2024;00:08;A127;1;2;9;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
30.10.2024;00:07;A127;1;0;0;2;5;0;0;0;0;0;0;0;0;;;;;;;;;;;;
30.10.2024;00:06;A127;1;1;6;2;4;0;0;0;0;0;0;0;0;;;;;;;;;;;;
30.10.2024;00:05;A127;1;2;14;2;3;0;0;0;0;0;0;0;0;;;;;;;;;;;;
30.10.2024;00:04;A127;1;1;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
30.10.2024;00:03;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
30.10.2024;00:02;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
30.10.2024;00:01;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
30.10.2024;00:00;A127;1;3;14;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:59;A127;1;2;16;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:58;A127;1;1;1;1;6;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:57;A127;1;0;0;2;4;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:56;A127;1;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:55;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:54;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:53;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:52;A127;1;0;0;1;6;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:51;A127;1;0;0;2;8;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:50;A127;1;1;6;1;5;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:49;A127;1;0;0;1;6;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:48;A127;1;1;6;3;10;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:47;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:46;A127;1;1;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:45;A127;1;1;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:44;A127;1;1;7;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:43;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:42;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:41;A127;1;1;4;2;13;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:40;A127;1;1;9;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:39;A127;1;0;0;3;6;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:38;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:37;A127;1;1;6;2;5;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:36;A127;1;2;2;1;5;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:35;A127;1;1;15;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:34;A127;1;1;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:33;A127;1;1;9;1;3;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:32;A127;1;1;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:31;A127;1;0;0;2;6;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:30;A127;1;1;14;1;2;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:29;A127;1;2;9;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:28;A127;1;1;4;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:27;A127;1;1;18;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:26;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:25;A127;1;1;7;2;12;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:24;A127;1;1;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:23;A127;1;0;32;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:22;A127;1;0;100;2;3;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:21;A127;1;2;7;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:20;A127;1;0;0;1;5;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:19;A127;1;2;16;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:18;A127;1;1;19;2;5;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:17;A127;1;1;5;3;5;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:16;A127;1;1;7;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:15;A127;1;2;12;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:14;A127;1;0;0;1;2;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:13;A127;1;1;6;3;8;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:12;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:11;A127;1;1;9;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:10;A127;1;1;5;2;5;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:09;A127;1;0;0;1;10;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:08;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:07;A127;1;1;11;4;13;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:06;A127;1;2;15;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:05;A127;1;1;11;4;16;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:04;A127;1;1;19;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:03;A127;1;3;17;0;0;1;1;0;0;1;1;0;0;;;;;;;;;;;;
29.10.2024;23:02;A127;1;0;2;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:01;A127;1;2;9;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;23:00;A127;1;2;12;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:59;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:58;A127;1;1;8;2;10;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:57;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:56;A127;1;1;5;4;21;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:55;A127;1;4;30;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:54;A127;1;1;5;1;5;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:53;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:52;A127;1;0;0;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:51;A127;1;1;5;2;3;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:50;A127;1;2;17;1;4;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:49;A127;1;1;7;6;15;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:48;A127;1;1;8;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:47;A127;1;0;0;1;6;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:46;A127;1;2;12;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:45;A127;1;2;17;2;3;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:44;A127;1;2;8;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:43;A127;1;1;5;1;4;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:42;A127;1;0;0;5;15;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:41;A127;1;1;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:40;A127;1;0;0;4;13;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:39;A127;1;0;0;1;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:38;A127;1;1;7;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:37;A127;1;1;4;4;13;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:36;A127;1;3;24;5;10;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:35;A127;1;1;17;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:34;A127;1;0;0;3;8;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:33;A127;1;1;13;2;3;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:32;A127;1;3;17;4;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:31;A127;1;1;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:30;A127;1;1;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:29;A127;1;1;20;4;10;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:28;A127;1;3;18;4;20;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:27;A127;1;1;6;4;13;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:26;A127;1;1;9;3;15;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:25;A127;1;1;6;4;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:24;A127;1;0;0;1;8;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:23;A127;1;0;0;5;19;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:22;A127;1;1;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:21;A127;1;1;9;2;13;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:20;A127;1;3;19;4;7;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:19;A127;1;1;14;0;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:18;A127;1;1;8;3;30;1;1;0;0;1;1;0;0;;;;;;;;;;;;
29.10.2024;22:17;A127;1;1;1;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:16;A127;1;2;15;1;4;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:15;A127;1;1;10;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:14;A127;1;1;7;4;14;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:13;A127;1;2;13;4;18;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:12;A127;1;2;12;2;5;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:11;A127;1;0;0;3;10;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:10;A127;1;1;11;3;5;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:09;A127;1;1;11;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:08;A127;1;4;5;4;14;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:07;A127;1;2;7;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:06;A127;1;1;5;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:05;A127;1;3;50;2;11;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:04;A127;1;1;6;2;5;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:03;A127;1;1;6;4;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:02;A127;1;2;3;2;8;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:01;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;22:00;A127;1;3;13;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:59;A127;1;2;12;2;13;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:58;A127;1;0;0;1;4;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:57;A127;1;0;0;2;4;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:56;A127;1;1;3;2;44;1;1;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:55;A127;1;2;13;7;28;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:54;A127;1;3;17;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:53;A127;1;1;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:52;A127;1;2;11;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:51;A127;1;0;0;3;38;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:50;A127;1;2;29;6;17;0;0;0;0;1;1;0;0;;;;;;;;;;;;
29.10.2024;21:49;A127;1;2;18;0;0;1;1;0;0;1;1;0;0;;;;;;;;;;;;
29.10.2024;21:48;A127;1;3;20;2;4;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:47;A127;1;2;14;3;16;0;0;1;1;0;0;1;1;;;;;;;;;;;;
29.10.2024;21:46;A127;1;1;6;2;7;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:45;A127;1;1;21;2;6;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:44;A127;1;3;16;6;17;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:43;A127;1;2;16;3;15;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:42;A127;1;3;18;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:41;A127;1;2;12;2;13;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:40;A127;1;2;34;1;52;1;1;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:39;A127;1;3;16;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:38;A127;1;1;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:37;A127;1;5;34;1;7;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:36;A127;1;2;9;2;10;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:35;A127;1;2;31;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:34;A127;1;2;12;3;4;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:33;A127;1;1;6;0;0;1;1;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:32;A127;1;3;19;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:31;A127;1;2;12;1;6;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:30;A127;1;1;6;2;5;0;0;1;1;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:29;A127;1;1;45;3;16;0;0;1;1;0;0;1;2;;;;;;;;;;;;
29.10.2024;21:28;A127;1;0;0;2;3;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:27;A127;1;2;15;3;14;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:26;A127;1;2;14;2;34;1;1;0;0;0;0;1;2;;;;;;;;;;;;
29.10.2024;21:25;A127;1;2;9;6;21;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:24;A127;1;4;23;2;20;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:23;A127;1;1;6;3;14;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:22;A127;1;0;97;5;16;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:21;A127;1;0;100;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:20;A127;1;1;8;2;5;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:19;A127;1;3;18;3;8;0;0;1;1;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:18;A127;1;1;7;0;0;0;0;1;1;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:17;A127;1;2;26;2;3;1;1;0;0;1;1;0;0;;;;;;;;;;;;
29.10.2024;21:16;A127;1;2;17;3;32;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:15;A127;1;5;26;1;6;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:14;A127;1;1;10;1;31;1;1;0;0;1;1;0;0;;;;;;;;;;;;
29.10.2024;21:13;A127;1;0;0;3;10;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:12;A127;1;2;14;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:11;A127;1;3;9;2;7;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:10;A127;1;1;5;1;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:09;A127;1;2;18;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:08;A127;1;2;13;1;6;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:07;A127;1;2;9;3;20;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:06;A127;1;3;11;3;9;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:05;A127;1;1;12;4;7;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:04;A127;1;1;6;1;5;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:03;A127;1;3;16;1;6;1;1;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:02;A127;1;2;10;3;14;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:01;A127;1;1;7;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;21:00;A127;1;3;31;3;18;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;20:59;A127;1;2;15;8;18;1;1;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;20:58;A127;1;1;10;4;8;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;20:57;A127;1;1;12;2;16;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;20:56;A127;1;3;22;2;11;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;20:55;A127;1;2;14;0;10;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;20:54;A127;1;4;12;2;3;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;20:53;A127;1;3;17;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;20:52;A127;1;1;0;3;10;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;20:51;A127;1;3;26;3;3;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;20:50;A127;1;1;20;3;13;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;20:49;A127;1;1;15;1;6;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;20:48;A127;1;3;18;3;17;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;20:47;A127;1;1;5;6;14;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;20:46;A127;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;20:45;A127;1;1;7;3;20;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;20:44;A127;1;1;8;4;13;0;0;1;1;0;0;0;0;;;;;;;;;;;;
29.10.2024;20:43;A127;1;2;10;1;12;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;20:42;A127;1;3;16;4;13;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;20:41;A127;1;0;0;4;27;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;20:40;A127;1;3;16;0;3;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;20:39;A127;1;1;7;5;23;0;0;0;0;0;0;0;0;;;;;;;;;;;;
29.10.2024;20:38;A127;1;3;14;4;25;0;0;0;0;0;0;0;0;;;;;;;;;;;;
