Datum;Uhrzeit;Bezeichnung;Intervall;D11Z;D11B;D12Z;D12B;D13Z;D13B;D14Z;D14B;D21Z;D21B;D22Z;D22B;D31Z;D31B;D32Z;D32B;D33Z;D33B;D41Z;D41B;D42Z;D42B;D57Z;D57B;A5_M1_460Z;A5_M1_460B;A57_M2_464Z;A57_M2_464B;T7_8Z;T7_8B;D43Z;D43B
12.12.2024;00:38;A 10;1;0;0;0;0;2;3;0;0;0;100;0;100;0;0;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;1;2
12.12.2024;00:37;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:36;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:35;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:34;A 10;1;0;0;0;0;1;2;0;0;0;100;0;100;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
12.12.2024;00:33;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;1;1;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;1
12.12.2024;00:32;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;1;1;2;3;2;4;0;0;0;0;1;54;0;0;0;0;0;0;3;4
12.12.2024;00:31;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;85;0;85;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:30;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;1;2;1;11;1;1;0;0;0;0;0;0;0;0;1;1
12.12.2024;00:29;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;1;1
12.12.2024;00:28;A 10;1;1;1;1;1;0;0;0;0;0;100;0;100;0;0;0;0;3;9;0;0;0;36;0;0;0;0;0;0;1;1;1;1
12.12.2024;00:27;A 10;1;1;55;1;6;0;0;0;0;0;100;0;100;0;0;0;0;1;2;0;0;1;19;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:26;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;2;4;1;7;0;0;0;0;0;0;0;0;0;0;2;3
12.12.2024;00:25;A 10;1;1;1;0;0;0;0;0;0;0;100;0;100;0;0;0;0;1;2;0;0;0;23;0;0;1;2;0;0;1;2;2;2
12.12.2024;00:24;A 10;1;0;0;0;0;1;1;1;5;0;100;0;100;2;3;1;2;1;2;0;0;1;19;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:23;A 10;1;0;0;0;0;0;0;1;12;0;100;0;100;0;0;0;0;0;0;1;47;0;0;0;0;0;0;0;0;0;0;1;2
12.12.2024;00:22;A 10;1;0;0;0;0;0;0;1;27;0;100;0;100;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;3
12.12.2024;00:21;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;0;0;1;2;1;3;0;0;0;0;0;0;0;0;0;0;1;2;2;2
12.12.2024;00:20;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;1;1;0;0;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:19;A 10;1;3;31;2;2;0;0;0;0;0;100;0;100;1;2;0;0;1;1;2;9;0;0;0;0;0;0;0;0;0;0;4;5
12.12.2024;00:18;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;0;0;2;5;2;5;1;59;0;0;0;0;0;0;0;0;0;0;2;3
12.12.2024;00:17;A 10;1;1;3;1;1;1;1;0;0;0;100;0;100;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;4
12.12.2024;00:16;A 10;1;2;5;1;1;0;0;0;0;0;100;0;100;0;0;0;0;0;0;1;1;0;0;1;4;0;0;1;2;0;0;1;1
12.12.2024;00:15;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;2;40;0;0;0;0;0;0;0;0;0;0;2;3
12.12.2024;00:14;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:13;A 10;1;2;5;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3
12.12.2024;00:12;A 10;1;0;0;1;1;0;0;0;0;0;100;0;100;1;1;0;0;3;7;0;3;0;0;0;0;0;0;0;0;0;0;1;1
12.12.2024;00:11;A 10;1;1;1;1;1;1;1;0;0;0;100;0;100;0;0;0;0;1;2;1;14;0;0;0;0;0;0;0;0;0;0;1;2
12.12.2024;00:10;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;1;14;0;0;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:09;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
12.12.2024;00:08;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;3;5;0;0;1;2;1;23;0;0;0;0;0;0;0;0;0;0;2;3
12.12.2024;00:07;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;1;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2
12.12.2024;00:06;A 10;1;1;2;1;1;0;0;0;0;0;100;0;100;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;2
12.12.2024;00:05;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;0;0;2;3;0;0;2;10;0;0;1;5;0;0;1;2;0;0;1;1
12.12.2024;00:04;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;0;0;2;2;1;2;1;20;0;0;0;0;0;0;0;0;2;4;0;0
12.12.2024;00:03;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12.12.2024;00:02;A 10;1;2;6;1;1;1;3;0;0;0;100;0;100;1;1;0;0;1;1;2;49;0;0;0;0;0;0;0;0;0;0;2;3
12.12.2024;00:01;A 10;1;0;0;1;1;0;0;0;0;0;100;0;100;0;0;1;0;3;10;0;0;1;6;0;0;0;0;0;0;0;0;1;1
12.12.2024;00:00;A 10;1;1;2;1;1;0;0;0;0;0;100;0;100;0;0;1;2;1;2;4;9;1;14;0;0;0;0;0;0;0;0;0;0
11.12.2024;23:59;A 10;1;0;0;1;2;1;2;0;0;0;100;0;100;0;0;1;1;1;2;0;0;1;53;0;0;0;0;0;0;0;0;0;0
11.12.2024;23:58;A 10;1;1;1;1;0;0;0;0;0;0;100;0;100;0;0;0;0;0;1;0;17;0;0;0;0;1;2;0;0;0;0;2;2
11.12.2024;23:57;A 10;1;0;0;0;0;2;3;0;0;0;100;0;100;1;2;0;0;2;4;0;100;0;0;0;0;0;0;0;0;1;1;2;3
11.12.2024;23:56;A 10;1;1;1;0;0;2;2;0;0;0;100;0;100;0;0;1;1;0;1;1;72;0;0;0;0;0;0;0;0;0;0;0;0
11.12.2024;23:55;A 10;1;1;1;2;3;1;2;0;0;0;100;0;100;1;1;0;0;3;4;1;31;0;0;0;0;0;0;0;0;0;0;2;3
11.12.2024;23:54;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;1;2;1;1;1;2;1;37;0;0;0;0;1;2;0;0;0;0;2;3
11.12.2024;23:53;A 10;1;2;8;0;0;0;0;0;0;0;100;0;100;1;1;0;0;1;1;0;0;0;3;0;0;0;0;0;0;0;0;1;1
11.12.2024;23:52;A 10;1;1;2;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;0;1;51;0;0;0;0;0;0;0;0;2;3
11.12.2024;23:51;A 10;1;1;2;0;0;0;0;0;0;0;100;0;100;1;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3
11.12.2024;23:50;A 10;1;1;1;1;1;1;1;0;0;0;100;0;100;1;1;1;1;2;5;2;35;1;29;0;0;0;0;0;0;0;0;4;7
11.12.2024;23:49;A 10;1;1;1;1;1;0;0;0;0;0;100;0;100;0;0;1;1;0;0;0;53;1;22;0;0;0;0;0;0;0;0;2;3
11.12.2024;23:48;A 10;1;1;1;0;0;1;1;0;0;0;100;0;100;0;0;0;0;0;0;2;52;0;0;0;0;0;0;0;0;0;0;1;1
11.12.2024;23:47;A 10;1;1;1;0;0;1;1;0;0;0;100;0;100;0;0;1;1;1;2;2;46;0;0;0;0;0;0;0;0;1;1;0;0
11.12.2024;23:46;A 10;1;0;0;0;0;1;1;0;0;0;100;0;100;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.12.2024;23:45;A 10;1;0;0;1;1;0;2;0;0;0;100;0;100;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0
11.12.2024;23:44;A 10;1;0;0;1;1;2;1;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
11.12.2024;23:43;A 10;1;2;2;0;0;0;2;0;0;0;100;0;100;2;2;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;4;6
11.12.2024;23:42;A 10;1;2;3;0;0;1;0;0;0;0;100;0;100;0;0;1;1;1;2;1;1;0;0;0;0;0;0;0;0;1;1;0;0
11.12.2024;23:41;A 10;1;0;0;2;3;2;3;0;0;0;100;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4
11.12.2024;23:40;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;1;1
11.12.2024;23:39;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;1;2;0;0;0;0;1;21;0;0;0;0;0;0;0;0;0;0;1;2
11.12.2024;23:38;A 10;1;0;0;2;3;0;0;0;0;0;100;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;5
11.12.2024;23:37;A 10;1;0;0;1;1;0;0;0;0;0;100;0;100;1;6;3;6;0;0;1;3;0;0;0;0;0;0;0;0;0;0;1;1
11.12.2024;23:36;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;0;0;2;3;1;3;2;21;1;1;1;1;0;0;0;0;0;0;1;1
11.12.2024;23:35;A 10;1;0;0;1;1;1;1;0;0;0;100;0;100;0;0;0;0;0;0;1;2;0;0;1;11;0;0;1;2;0;0;1;2
11.12.2024;23:34;A 10;1;0;0;0;0;0;0;1;0;0;100;0;100;0;0;1;2;1;2;0;0;0;5;0;0;0;0;0;0;0;0;0;0
11.12.2024;23:33;A 10;1;1;1;2;3;0;0;0;0;0;100;0;100;0;0;0;0;0;0;2;5;4;21;0;0;0;0;0;0;0;0;1;1
11.12.2024;23:32;A 10;1;1;2;0;0;1;1;1;40;0;100;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
11.12.2024;23:31;A 10;1;1;2;0;0;0;0;0;0;0;100;0;100;1;2;1;1;4;6;0;0;1;2;0;0;0;0;0;0;1;2;1;2
11.12.2024;23:30;A 10;1;3;11;3;2;1;1;0;0;0;100;0;100;1;1;1;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;1;1
11.12.2024;23:29;A 10;1;0;0;1;1;2;3;0;0;0;100;0;100;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;3
11.12.2024;23:28;A 10;1;1;2;1;1;1;1;0;0;0;100;0;100;0;0;0;0;1;3;0;0;0;0;1;38;0;0;0;0;0;0;1;1
11.12.2024;23:27;A 10;1;0;0;0;0;2;3;0;0;0;100;0;100;1;2;0;0;1;2;1;3;0;0;0;0;0;0;0;0;0;0;0;0
11.12.2024;23:26;A 10;1;1;2;1;2;1;0;0;0;0;100;0;100;2;2;0;0;2;3;1;1;0;0;0;0;0;0;0;0;1;3;2;3
11.12.2024;23:25;A 10;1;1;1;2;3;0;0;0;0;0;100;0;100;0;0;2;2;5;9;0;0;0;0;0;0;0;0;0;0;0;0;2;3
11.12.2024;23:24;A 10;1;0;0;0;0;0;0;1;22;0;100;0;100;1;1;0;0;2;4;0;0;0;0;0;0;1;2;0;0;0;0;2;2
11.12.2024;23:23;A 10;1;1;1;0;0;0;0;0;0;0;100;0;100;2;2;0;0;1;1;1;59;0;0;0;0;0;0;0;0;1;2;2;3
11.12.2024;23:22;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;1;2;2;70;0;0;1;1;0;0;0;0;0;0;0;0
11.12.2024;23:21;A 10;1;1;1;1;1;0;0;0;0;0;100;0;100;0;0;1;1;0;0;2;50;0;0;0;0;0;0;0;0;0;0;2;3
11.12.2024;23:20;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11.12.2024;23:19;A 10;1;1;2;0;0;0;0;0;0;0;100;0;100;2;3;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;3;6
11.12.2024;23:18;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;0;0;0;0;2;3;1;76;0;0;0;0;0;0;0;0;1;2;0;0
11.12.2024;23:17;A 10;1;0;0;0;0;1;1;0;0;0;100;0;100;1;1;3;4;1;2;1;48;0;0;0;0;0;0;0;0;0;0;0;1
11.12.2024;23:16;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;1;2;0;0;3;7;1;61;1;1;0;0;0;0;0;0;0;0;1;0
11.12.2024;23:15;A 10;1;2;5;1;2;1;2;0;0;0;100;0;100;1;1;2;2;1;2;0;0;0;0;0;65;0;0;0;0;0;0;0;0
11.12.2024;23:14;A 10;1;2;2;2;2;0;0;0;0;0;100;0;100;0;0;1;1;0;0;0;0;0;0;1;21;0;0;0;0;1;5;3;4
11.12.2024;23:13;A 10;1;0;0;2;5;1;1;0;0;0;100;0;100;0;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;6;9
11.12.2024;23:12;A 10;1;0;0;1;2;1;2;0;0;0;100;0;100;1;2;2;3;0;0;0;0;0;0;1;8;0;0;1;2;1;1;2;3
11.12.2024;23:11;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;0;0;2;3;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;1
11.12.2024;23:10;A 10;1;1;2;2;4;0;0;1;26;0;100;0;100;3;3;1;2;2;5;0;0;0;0;0;0;0;0;0;0;1;1;2;4
11.12.2024;23:09;A 10;1;1;24;0;0;0;0;0;0;0;100;0;100;2;3;0;0;2;4;1;44;1;63;0;0;0;0;0;0;0;0;5;9
11.12.2024;23:08;A 10;1;2;3;0;0;0;0;0;0;0;100;0;100;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
11.12.2024;23:07;A 10;1;0;0;1;1;0;0;0;0;0;100;0;100;4;6;0;0;0;0;1;53;0;0;0;0;0;0;0;0;2;14;3;3
11.12.2024;23:06;A 10;1;1;1;1;0;0;0;0;0;0;100;0;100;0;0;0;0;3;9;2;72;1;3;0;0;0;0;0;0;0;0;1;2
11.12.2024;23:05;A 10;1;1;1;0;0;1;1;0;0;0;100;0;100;1;1;2;3;0;0;2;48;0;0;1;7;0;0;1;2;0;0;0;0
11.12.2024;23:04;A 10;1;0;0;1;1;0;0;0;0;0;100;0;100;0;0;1;1;2;5;2;29;0;0;1;0;0;0;0;0;0;0;2;3
11.12.2024;23:03;A 10;1;5;7;1;1;1;1;0;0;0;100;0;100;0;0;0;0;1;1;1;89;0;0;0;0;0;0;0;0;0;0;2;2
11.12.2024;23:02;A 10;1;2;3;0;0;1;1;0;0;0;100;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;9;1;1
11.12.2024;23:01;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;1;2;1;1;1;2;1;45;1;1;0;0;0;0;0;0;0;0;5;9
11.12.2024;23:00;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;2;2;0;1;2;3;0;0;1;3;0;0;0;0;0;0;1;3;0;0
11.12.2024;22:59;A 10;1;2;3;1;1;1;1;0;0;0;100;0;100;1;6;7;8;0;0;2;16;0;0;0;0;0;0;0;0;0;0;0;0
11.12.2024;22:58;A 10;1;1;2;2;4;2;3;0;0;0;100;0;100;1;1;0;0;3;8;0;0;0;0;0;0;0;0;0;0;0;0;1;1
11.12.2024;22:57;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;1;1;2;2;2;4;0;0;0;0;0;0;0;0;0;0;0;0;2;3
11.12.2024;22:56;A 10;1;1;2;1;1;0;0;0;0;0;100;0;100;3;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;2
11.12.2024;22:55;A 10;1;0;0;1;2;1;1;1;1;0;100;0;100;0;2;2;2;1;2;2;7;0;4;0;0;0;0;0;0;0;0;2;3
11.12.2024;22:54;A 10;1;1;2;1;2;0;0;0;0;0;100;0;100;3;4;2;2;4;8;0;0;1;81;0;0;1;2;0;0;0;0;1;2
11.12.2024;22:53;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;2;3;2;2;0;0;1;30;0;0;0;0;0;0;0;0;1;2;3;6
11.12.2024;22:52;A 10;1;1;2;2;3;1;1;0;0;0;100;0;100;0;0;0;0;3;6;0;37;0;0;0;0;0;0;0;0;0;0;2;3
11.12.2024;22:51;A 10;1;0;0;0;0;0;0;0;0;0;100;0;100;3;5;2;3;4;10;1;40;0;0;0;0;0;0;0;0;0;0;1;1
11.12.2024;22:50;A 10;1;0;0;0;0;0;0;0;0;1;86;1;85;0;0;0;0;3;7;2;3;0;0;0;0;0;0;0;0;1;1;3;4
11.12.2024;22:48;A 10;1;1;1;4;5;2;2;0;0;0;100;0;100;1;1;0;0;4;26;2;62;0;0;0;0;0;0;0;0;0;0;4;5
11.12.2024;22:47;A 10;1;1;2;1;2;0;0;0;0;0;100;0;100;1;2;1;1;3;7;0;0;0;0;1;0;0;0;0;0;1;2;5;13
11.12.2024;22:46;A 10;1;0;0;1;2;1;1;0;0;0;100;0;100;1;2;2;10;0;0;1;47;0;0;0;0;0;0;0;0;0;0;2;3
11.12.2024;22:45;A 10;1;1;2;1;1;0;0;0;0;0;100;0;100;3;6;3;5;1;2;0;0;0;0;0;0;0;0;0;0;1;1;5;6
11.12.2024;22:44;A 10;1;1;3;1;1;0;0;0;0;0;100;0;100;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;2;3
11.12.2024;22:43;A 10;1;2;8;3;4;0;0;0;0;0;100;0;100;3;4;2;3;3;8;1;2;0;0;1;1;0;0;0;0;0;0;5;9
11.12.2024;22:42;A 10;1;0;0;1;2;1;2;0;55;0;100;0;100;0;0;1;1;2;5;1;78;0;0;0;0;0;0;0;0;0;0;3;4
11.12.2024;22:41;A 10;1;0;0;3;4;3;3;1;21;0;100;0;100;1;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;5
11.12.2024;22:40;A 10;1;0;0;0;0;1;2;0;23;0;100;0;100;2;3;0;0;0;0;1;1;0;0;0;0;0;0;0;0;3;26;3;4
11.12.2024;22:39;A 10;1;2;14;1;1;0;0;1;9;0;100;0;100;3;4;3;3;0;0;1;58;0;0;0;0;0;0;0;0;0;0;2;2
11.12.2024;22:38;A 10;1;3;18;1;1;1;1;1;0;0;100;0;100;0;0;1;1;1;1;1;21;0;34;0;0;0;0;0;0;0;0;2;3
11.12.2024;22:37;A 10;1;3;5;1;2;1;1;0;0;0;100;0;100;0;0;1;1;2;6;0;16;1;61;0;0;0;0;0;0;0;0;3;6
11.12.2024;22:36;A 10;1;3;5;1;2;0;0;0;0;0;100;0;100;2;4;2;2;4;23;3;24;0;0;1;4;0;0;1;2;1;1;2;3
11.12.2024;22:35;A 10;1;1;1;1;1;0;0;0;0;0;100;0;100;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2
11.12.2024;22:34;A 10;1;0;0;1;2;0;0;0;0;0;100;0;100;2;2;1;1;1;1;1;66;1;1;0;0;0;0;0;0;1;2;4;7
11.12.2024;22:33;A 10;1;0;0;1;2;1;1;0;0;0;100;0;100;4;6;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;2;3
11.12.2024;22:32;A 10;1;4;4;4;4;1;1;0;0;0;100;0;100;0;0;0;13;3;9;1;1;1;1;0;0;0;0;0;0;0;0;2;2
11.12.2024;22:31;A 10;1;3;8;1;1;2;3;0;0;0;100;0;100;0;0;2;62;5;8;1;37;0;0;0;0;0;0;0;0;0;0;3;4
11.12.2024;22:30;A 10;1;0;0;1;1;1;1;0;0;0;100;0;100;1;1;0;0;0;0;1;61;0;16;0;0;0;0;0;0;0;0;0;0
11.12.2024;22:29;A 10;1;1;2;1;2;1;1;0;0;0;100;0;100;1;3;3;6;2;60;3;80;2;81;0;0;0;0;0;0;0;0;2;4
11.12.2024;22:28;A 10;1;2;3;0;0;0;0;1;2;0;100;0;100;2;3;2;2;4;10;1;0;0;0;0;0;0;0;0;0;1;2;2;3
11.12.2024;22:27;A 10;1;1;3;1;1;1;1;0;0;0;100;0;100;3;6;3;4;5;25;2;66;1;69;0;0;0;0;0;0;2;6;0;0
11.12.2024;22:26;A 10;1;1;2;1;1;0;0;0;0;0;100;0;100;2;2;3;3;1;2;1;12;0;0;0;0;0;0;0;0;1;2;2;2
11.12.2024;22:25;A 10;1;1;2;2;3;1;2;0;0;0;100;0;100;1;2;1;2;2;41;3;20;1;9;0;0;0;0;0;0;0;0;3;5
11.12.2024;22:24;A 10;1;1;3;1;1;1;1;0;0;0;100;0;100;1;2;1;1;4;28;2;76;0;71;0;0;1;2;0;0;2;2;1;1
11.12.2024;22:23;A 10;1;3;3;2;3;2;2;0;0;0;100;0;100;3;5;3;6;2;5;3;43;2;61;1;5;0;0;0;0;0;0;0;0
11.12.2024;22:22;A 10;1;2;4;2;4;1;1;0;0;0;100;0;100;0;0;2;3;5;10;4;8;0;2;0;0;0;0;0;0;0;0;0;0
11.12.2024;22:21;A 10;1;0;0;1;2;1;1;0;0;0;100;0;100;0;0;1;1;0;0;1;100;1;19;0;0;0;0;0;0;1;3;2;3
11.12.2024;22:20;A 10;1;0;0;0;0;1;1;0;0;0;100;0;100;1;1;3;5;2;9;0;0;0;0;0;0;0;0;0;0;1;3;0;0
11.12.2024;22:19;A 10;1;0;0;1;2;0;0;0;0;0;100;0;100;2;3;1;1;4;11;0;0;1;27;0;0;0;0;0;0;0;0;1;2
11.12.2024;22:18;A 10;1;1;1;2;2;0;0;0;0;0;100;0;100;3;4;2;2;4;10;0;52;0;0;0;0;0;0;0;0;0;0;1;1
11.12.2024;22:17;A 10;1;2;3;1;2;2;2;0;0;0;100;0;100;0;0;3;4;5;14;2;46;0;0;0;0;0;0;0;0;0;0;1;1
11.12.2024;22:16;A 10;1;4;21;3;5;2;2;0;0;0;100;0;100;0;0;2;3;2;4;0;0;0;0;0;0;0;0;0;0;1;1;2;2
11.12.2024;22:15;A 10;1;2;3;2;3;0;0;0;0;0;100;0;100;1;1;3;4;4;49;2;7;0;5;0;0;0;0;0;0;1;2;1;11
11.12.2024;22:14;A 10;1;0;0;1;1;1;1;0;0;0;100;0;100;4;7;3;5;1;2;1;49;1;20;0;0;0;0;0;0;0;0;2;3
11.12.2024;22:13;A 10;1;2;4;0;0;0;0;0;0;0;100;0;100;2;4;0;0;0;0;3;72;0;0;0;0;0;0;0;0;0;0;2;3
11.12.2024;22:12;A 10;1;2;2;0;0;1;1;0;0;0;100;0;100;0;0;0;0;1;2;0;0;2;72;0;0;0;0;0;0;1;4;3;4
