Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;V23Z;V23B;V24Z;V24B;D81Z;D81B;D82Z;D82B;V83Z;V83B;V84Z;V84B;D111Z;D111B;D112Z;D112B;V113Z;V113B;V114Z;V114B;D115Z;D115B;TF41Z;TF41B;TBS41Z;TBS41B;EG23Z;EG23B;EG24Z;EG24B;V1_StoerZ;V1_StoerB;V2_StoerZ;V2_StoerB;V3_StoerZ;V3_StoerB;FW_AnfoZ;FW_AnfoB
21.03.2024;00:37;A 24;1;0;0;0;0;0;0;0;0;1;0;1;1;1;5;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:36;A 24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:35;A 24;1;0;0;0;0;0;0;0;0;1;1;1;22;1;8;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:34;A 24;1;1;1;0;0;1;9;0;0;2;1;3;3;1;8;2;15;0;0;1;23;0;0;2;2;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:33;A 24;1;0;0;1;1;0;0;2;4;0;0;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:32;A 24;1;1;1;0;0;1;8;0;0;2;1;3;4;2;5;2;9;1;1;2;27;1;7;2;29;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:31;A 24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;1;18;1;24;1;3;1;2;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:30;A 24;1;1;1;1;1;2;7;1;5;0;0;1;0;0;0;1;3;1;8;2;25;1;7;2;13;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:29;A 24;1;0;0;1;0;0;0;3;3;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:28;A 24;1;1;1;0;0;2;1;0;0;0;0;1;0;0;0;1;4;1;18;0;0;1;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:27;A 24;1;0;0;1;0;1;5;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:26;A 24;1;0;0;1;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:25;A 24;1;1;1;1;1;1;6;3;3;1;0;1;1;0;2;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:24;A 24;1;1;1;0;0;1;8;0;0;2;1;1;0;5;10;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:23;A 24;1;0;0;2;2;0;0;4;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:22;A 24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:21;A 24;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:20;A 24;1;1;0;1;1;1;5;2;3;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:19;A 24;1;0;0;1;1;0;0;1;6;2;13;2;4;2;18;2;15;1;1;1;1;3;6;1;10;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:18;A 24;1;2;2;1;0;2;11;3;2;2;2;0;0;2;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:17;A 24;1;0;0;1;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:16;A 24;1;1;1;0;0;2;8;0;0;0;0;1;1;0;0;1;3;2;35;0;0;2;6;2;6;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:15;A 24;1;1;22;0;0;1;9;0;0;0;0;1;3;0;0;1;7;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:14;A 24;1;0;0;1;0;0;0;1;3;0;0;1;0;0;0;1;4;0;0;1;19;0;0;1;11;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:13;A 24;1;0;0;1;1;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:12;A 24;1;1;1;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:11;A 24;1;1;1;1;0;3;7;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:10;A 24;1;1;1;1;1;3;7;3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:09;A 24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;24;0;1;2;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:08;A 24;1;1;0;1;1;1;8;2;5;0;0;0;0;0;0;0;0;0;0;1;20;0;0;1;5;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:07;A 24;1;1;1;2;2;3;6;1;9;1;0;2;2;1;5;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:06;A 24;1;0;0;1;0;0;0;3;2;1;0;2;2;1;1;3;14;0;0;18;14;0;0;1;8;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:05;A 24;1;1;0;1;0;1;1;2;1;0;0;1;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:04;A 24;1;2;1;0;0;3;12;0;0;1;1;2;2;1;7;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:03;A 24;1;1;1;1;0;2;5;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:02;A 24;1;1;1;0;0;1;7;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:01;A 24;1;1;0;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
21.03.2024;00:00;A 24;1;0;0;0;0;0;0;0;0;2;2;4;3;1;9;2;11;1;19;0;0;1;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:59;A 24;1;1;1;0;0;3;3;0;0;0;0;3;3;0;0;3;19;1;19;0;0;2;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:58;A 24;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;4;0;0;1;26;0;0;1;5;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:57;A 24;1;1;0;1;0;0;0;3;3;0;0;1;1;0;0;1;5;0;0;1;19;0;0;1;7;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:56;A 24;1;0;0;1;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;1;13;0;0;1;15;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:55;A 24;1;0;0;0;0;0;0;0;0;2;1;1;0;2;6;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:54;A 24;1;1;2;1;0;1;9;2;3;0;0;1;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:53;A 24;1;0;0;1;0;0;0;3;3;2;2;1;0;2;14;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:52;A 24;1;2;32;0;0;5;14;0;0;0;0;0;0;0;0;0;0;1;22;0;0;1;4;1;4;1;1;1;2;0;0;0;0;;;;;;;;;;
20.03.2024;23:51;A 24;1;3;4;2;1;2;26;1;6;0;0;1;0;0;0;1;2;0;0;1;22;0;0;2;9;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:50;A 24;1;1;1;0;0;1;6;0;0;1;1;1;5;1;11;1;7;0;9;0;9;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:49;A 24;1;2;2;3;3;5;12;4;12;1;0;3;3;1;5;3;16;1;27;1;8;2;4;1;9;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:48;A 24;1;2;2;0;0;2;16;0;0;1;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:47;A 24;1;1;1;0;0;1;8;0;0;0;0;0;0;1;6;0;0;1;15;0;0;1;8;1;3;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:46;A 24;1;1;0;1;0;2;5;1;4;1;1;2;2;2;6;2;9;0;0;1;26;0;0;2;5;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:45;A 24;1;3;2;3;3;3;18;5;12;0;0;0;0;0;0;0;0;1;31;0;30;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:44;A 24;1;4;10;1;2;5;37;2;11;0;0;0;0;0;0;0;0;0;0;1;7;1;3;1;5;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:43;A 24;1;0;0;1;1;1;2;1;4;0;0;0;0;0;0;0;0;1;21;1;1;1;3;1;3;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:42;A 24;1;1;0;1;0;1;3;2;5;2;2;0;0;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:41;A 24;1;3;29;1;16;2;69;1;12;0;0;1;1;1;5;1;6;1;21;0;0;1;5;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:40;A 24;1;0;0;0;0;0;0;0;0;1;14;0;0;1;7;0;0;1;20;0;0;1;5;1;4;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:39;A 24;1;0;0;0;0;0;0;0;0;1;1;1;1;1;21;0;0;0;0;1;21;0;0;1;4;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:38;A 24;1;2;2;0;0;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:37;A 24;1;0;0;1;0;1;2;0;0;1;1;2;1;1;6;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:36;A 24;1;1;1;2;2;1;7;5;7;1;1;3;2;1;5;2;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:35;A 24;1;0;0;0;0;0;0;0;0;1;1;0;0;1;6;0;0;0;0;1;37;0;0;1;7;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:34;A 24;1;2;2;0;0;4;16;0;0;0;0;0;0;0;0;0;0;1;2;1;7;1;3;2;14;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:33;A 24;1;2;1;2;2;1;9;4;11;1;25;0;0;1;8;0;0;1;3;2;5;1;5;1;15;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:32;A 24;1;1;0;1;1;1;6;1;5;2;2;2;13;3;7;3;26;0;0;1;21;0;0;1;9;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:31;A 24;1;1;0;1;0;1;2;2;3;1;1;1;1;1;7;1;6;0;0;1;13;0;0;3;7;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:30;A 24;1;1;8;1;1;3;8;3;5;1;2;2;12;0;0;1;4;2;20;3;3;2;19;5;20;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:29;A 24;1;1;1;0;0;3;7;0;0;2;2;1;4;4;18;2;17;0;0;1;27;0;0;2;7;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:28;A 24;1;1;1;1;1;1;8;2;4;2;1;0;0;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:27;A 24;1;2;26;1;27;2;38;1;6;2;8;0;0;1;18;0;0;3;18;0;0;1;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:26;A 24;1;0;0;0;0;0;0;0;0;1;1;1;1;1;8;1;6;2;23;0;0;1;26;1;9;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:25;A 24;1;0;0;1;16;0;0;1;7;1;1;2;1;2;7;2;7;1;25;1;19;1;4;1;14;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:24;A 24;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:23;A 24;1;4;32;1;0;1;44;1;3;0;0;1;1;0;0;1;3;0;0;1;21;0;0;1;3;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:22;A 24;1;3;30;0;0;1;43;0;0;3;3;3;2;2;19;3;14;1;22;0;0;2;2;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:21;A 24;1;1;1;0;25;3;6;0;0;0;0;0;24;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:20;A 24;1;2;1;1;9;5;8;2;3;0;0;3;7;0;0;4;21;1;25;1;47;2;2;2;8;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:19;A 24;1;2;2;0;0;3;10;0;0;1;0;3;3;0;0;3;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:18;A 24;1;3;3;0;0;4;17;0;0;3;11;0;0;3;29;0;0;0;19;1;17;0;0;0;3;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:17;A 24;1;3;4;2;2;2;16;3;7;1;1;1;0;2;3;1;4;1;5;0;0;3;3;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:16;A 24;1;2;1;1;0;3;14;1;3;1;0;2;2;1;7;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:15;A 24;1;1;0;0;0;1;5;0;0;1;1;0;0;1;7;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:14;A 24;1;1;0;1;26;1;6;2;6;0;0;0;0;0;0;0;0;1;23;0;0;1;4;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:13;A 24;1;1;1;1;0;2;7;3;3;1;1;1;1;1;8;1;6;0;0;1;19;0;0;0;3;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:12;A 24;1;0;0;1;1;0;0;1;3;1;0;2;1;1;4;2;5;1;1;0;10;1;3;1;7;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:11;A 24;1;0;0;1;1;0;0;2;3;0;0;2;29;0;0;2;22;0;0;1;41;0;0;2;13;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:10;A 24;1;2;2;2;2;2;14;4;5;0;0;0;0;0;0;0;0;0;0;1;9;0;0;1;10;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:09;A 24;1;1;0;2;1;0;5;4;7;0;0;3;3;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:08;A 24;1;2;1;1;1;4;13;0;1;2;3;2;4;3;20;2;9;1;21;0;0;2;4;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:07;A 24;1;1;7;0;0;1;7;1;6;0;0;2;5;0;0;2;19;0;0;1;22;0;0;2;7;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:06;A 24;1;5;4;1;0;5;24;2;4;1;0;1;1;1;7;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:05;A 24;1;1;0;0;0;2;5;0;0;2;2;1;1;2;8;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:04;A 24;1;1;17;1;0;3;5;2;2;2;18;8;10;2;9;3;26;1;36;0;0;1;2;1;3;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:03;A 24;1;2;1;2;2;1;12;2;10;1;1;0;0;2;11;0;0;1;3;0;0;4;17;1;3;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:02;A 24;1;3;3;1;1;3;17;1;5;0;0;1;1;0;0;1;5;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:01;A 24;1;4;24;2;1;5;23;5;7;1;1;2;1;1;4;1;3;1;8;1;29;1;4;2;13;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;23:00;A 24;1;3;2;0;0;2;13;0;0;0;0;1;1;0;0;1;5;1;16;0;0;1;7;1;3;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;22:59;A 24;1;1;5;0;0;2;15;0;0;4;28;2;2;3;23;1;4;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;22:58;A 24;1;1;1;2;4;1;8;1;5;0;0;1;0;1;4;1;3;1;14;0;0;1;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;22:57;A 24;1;0;0;2;9;0;0;5;15;2;2;1;1;2;14;1;6;1;29;0;0;1;3;1;2;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;22:56;A 24;1;2;2;1;1;1;11;2;4;1;0;2;2;0;0;1;8;1;38;0;0;1;3;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;22:55;A 24;1;4;5;2;3;1;22;1;11;0;0;0;0;0;0;1;0;0;0;1;16;0;0;1;9;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;22:54;A 24;1;4;26;1;1;2;19;1;5;1;3;0;0;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;22:53;A 24;1;1;0;1;1;4;11;2;5;1;0;0;0;1;5;0;0;2;2;1;19;2;5;1;8;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;22:52;A 24;1;1;1;0;0;2;9;0;0;1;1;2;2;1;6;2;8;1;18;0;0;1;5;0;2;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;22:51;A 24;1;0;0;1;1;0;0;2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;22:50;A 24;1;2;2;3;2;3;12;3;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;22:49;A 24;1;1;1;5;5;0;7;8;18;4;3;3;3;3;13;3;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;22:48;A 24;1;2;2;1;1;3;12;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;22:47;A 24;1;2;2;3;3;1;14;2;14;1;1;4;4;1;6;2;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;22:46;A 24;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;22:45;A 24;1;1;1;1;1;1;7;3;5;0;0;1;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;22:44;A 24;1;2;2;1;1;4;12;3;7;1;1;0;0;1;7;0;0;2;9;3;25;2;9;2;11;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;22:43;A 24;1;3;10;1;4;1;28;3;4;1;1;3;3;2;8;2;8;1;20;1;1;1;5;1;2;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;22:42;A 24;1;3;29;1;25;0;32;3;2;2;5;2;11;1;28;2;16;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;22:41;A 24;1;1;6;2;6;1;18;2;11;1;13;0;0;2;12;0;0;0;0;1;22;0;0;1;9;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;22:40;A 24;1;3;15;0;0;5;23;0;0;1;1;1;0;2;3;0;0;0;0;1;14;0;0;1;5;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;22:39;A 24;1;4;15;2;2;7;21;4;9;0;0;2;1;0;0;2;5;1;22;2;25;0;0;3;9;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;22:38;A 24;1;2;1;3;2;1;6;3;9;3;26;3;22;3;21;2;32;3;44;1;16;1;48;2;5;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;22:37;A 24;1;0;0;1;22;0;0;2;9;2;6;1;1;2;17;1;7;2;19;4;31;3;9;5;16;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;22:36;A 24;1;3;3;2;1;2;14;4;6;1;1;2;2;1;5;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;22:35;A 24;1;1;17;2;19;2;8;4;17;4;9;2;2;4;24;2;10;1;25;0;0;1;2;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;22:34;A 24;1;3;3;4;3;2;20;5;17;2;2;1;0;1;9;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
20.03.2024;22:33;A 24;1;1;2;3;22;2;18;1;31;0;0;0;0;1;2;0;0;1;17;0;0;1;6;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;
