Datum;Uhrzeit;Bezeichnung;Intervall;D21Z;D21B;D22Z;D22B;V23Z;V23B;V24Z;V24B;D81Z;D81B;D82Z;D82B;V83Z;V83B;V84Z;V84B;D111Z;D111B;D112Z;D112B;V113Z;V113B;V114Z;V114B;D115Z;D115B;TF41Z;TF41B;TBS41Z;TBS41B;EG23Z;EG23B;EG24Z;EG24B;V1_StoerZ;V1_StoerB;V2_StoerZ;V2_StoerB;V3_StoerZ;V3_StoerB;FW_AnfoZ;FW_AnfoB
08.02.2024;00:50;A 24;1;1;1;0;0;1;8;0;0;1;0;2;1;2;4;0;100;2;25;2;2;0;0;1;14;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:49;A 24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;1;8;1;6;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:48;A 24;1;1;1;0;0;2;32;0;0;0;0;0;0;0;0;0;100;1;1;0;0;1;6;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:47;A 24;1;2;2;0;0;1;11;0;0;1;0;1;1;2;8;0;100;0;0;0;0;2;16;1;3;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:46;A 24;1;1;1;1;0;2;16;1;3;0;0;0;0;0;0;1;41;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:45;A 24;1;1;0;0;0;1;8;0;0;1;0;0;0;1;7;0;0;1;5;0;0;1;10;1;6;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:44;A 24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:43;A 24;1;1;0;1;0;1;8;1;4;1;0;0;0;1;8;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:42;A 24;1;1;26;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;2;16;1;7;1;25;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:41;A 24;1;0;0;0;0;1;6;0;0;0;0;1;0;1;0;1;19;0;0;1;4;2;9;1;16;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:40;A 24;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;2;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:39;A 24;1;0;0;0;0;0;0;0;0;1;1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:38;A 24;1;1;1;0;0;1;10;0;0;0;0;1;3;2;9;2;12;0;0;1;19;1;2;1;8;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:37;A 24;1;2;2;0;0;2;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:36;A 24;1;0;0;3;2;1;4;1;8;1;1;1;1;1;10;1;11;0;0;1;29;1;4;1;6;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:35;A 24;1;2;1;1;0;2;10;1;4;2;2;1;1;2;19;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:34;A 24;1;2;2;0;0;2;20;0;0;0;0;2;2;1;5;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:33;A 24;1;3;2;1;0;2;22;1;4;1;0;2;1;2;7;2;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:32;A 24;1;1;1;1;0;1;5;2;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:31;A 24;1;0;0;0;0;0;0;0;0;1;0;1;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:30;A 24;1;0;0;0;0;0;0;0;0;1;1;1;0;1;7;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:29;A 24;1;1;0;0;0;1;5;0;0;2;0;1;1;1;5;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:28;A 24;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:27;A 24;1;0;0;1;0;0;0;1;5;1;0;0;0;1;6;0;0;4;14;1;20;1;6;1;32;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:26;A 24;1;1;5;2;7;2;13;1;16;0;0;0;0;0;0;0;0;0;0;1;12;1;6;1;9;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:25;A 24;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:24;A 24;1;0;0;0;0;0;0;0;0;0;0;0;0;1;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:23;A 24;1;1;1;0;0;1;9;0;0;1;0;0;0;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:22;A 24;1;1;27;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;1;10;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:21;A 24;1;0;0;0;0;1;6;0;0;1;1;1;0;1;10;0;0;0;0;0;0;1;8;1;11;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:20;A 24;1;3;3;0;0;1;19;0;0;0;0;1;1;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:19;A 24;1;1;1;1;1;1;7;1;5;0;0;1;1;1;3;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:18;A 24;1;0;0;0;0;0;0;0;0;3;3;1;1;1;19;1;6;2;16;0;0;1;9;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:17;A 24;1;2;1;0;0;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:16;A 24;1;2;2;1;1;2;14;0;1;2;1;2;2;3;11;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:15;A 24;1;2;2;2;14;2;22;2;17;0;0;1;1;0;3;2;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:14;A 24;1;0;0;0;0;0;0;2;7;0;0;1;1;3;5;1;8;1;24;0;2;1;4;1;6;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:13;A 24;1;2;1;0;0;1;8;0;0;0;0;1;1;0;0;1;6;1;13;1;44;2;14;2;10;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:12;A 24;1;0;0;0;0;1;5;0;0;1;0;1;1;2;5;1;1;0;0;1;22;1;7;1;8;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:11;A 24;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;6;1;17;0;0;1;9;1;1;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:10;A 24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:09;A 24;1;0;0;0;0;0;0;0;0;0;0;2;1;1;3;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:08;A 24;1;1;1;2;2;1;11;3;13;2;1;0;0;2;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:07;A 24;1;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:06;A 24;1;2;12;1;0;0;15;1;10;2;2;2;28;1;15;1;6;1;1;1;30;2;21;2;21;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:05;A 24;1;1;1;1;0;2;21;1;5;0;0;1;5;1;3;1;7;0;0;2;23;2;8;2;17;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:04;A 24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;17;1;8;2;16;2;16;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:03;A 24;1;0;0;0;0;0;0;0;0;2;22;0;25;1;26;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:02;A 24;1;0;0;1;0;0;0;1;5;0;0;1;4;1;20;1;8;0;0;1;18;1;1;1;7;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:01;A 24;1;2;2;2;2;2;19;2;9;2;2;0;0;1;36;0;0;0;0;1;11;1;10;1;11;0;0;0;0;0;0;0;0;;;;;;;;;;
08.02.2024;00:00;A 24;1;1;1;1;0;1;8;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:59;A 24;1;1;1;0;0;0;10;0;0;0;0;2;2;1;3;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:58;A 24;1;1;1;2;1;1;12;2;7;1;1;2;1;2;11;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:57;A 24;1;2;2;2;2;1;14;3;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:56;A 24;1;0;0;0;0;1;4;0;0;0;0;1;1;1;4;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:55;A 24;1;0;0;1;1;0;0;1;7;1;1;0;0;1;7;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:54;A 24;1;0;0;1;0;0;0;1;6;1;2;2;8;1;16;2;22;1;4;2;31;2;13;1;39;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:53;A 24;1;1;17;0;0;1;10;0;0;1;1;0;0;1;10;0;0;1;14;0;0;4;10;2;7;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:52;A 24;1;1;0;1;0;1;7;1;5;3;7;3;4;1;29;2;17;0;0;1;21;1;5;1;9;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:51;A 24;1;0;0;2;13;2;4;1;16;1;3;0;0;1;9;1;4;0;0;1;3;0;0;1;10;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:50;A 24;1;2;2;1;0;2;14;2;7;0;0;0;0;1;10;0;0;0;0;1;11;1;7;1;11;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:49;A 24;1;1;0;1;1;2;8;1;7;0;0;2;5;1;5;1;12;1;23;0;0;1;7;1;2;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:48;A 24;1;1;4;0;0;2;17;0;0;1;16;0;0;0;4;1;1;1;3;0;0;1;13;1;7;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:47;A 24;1;1;20;1;18;1;11;2;12;1;3;1;1;2;14;1;9;2;55;0;0;2;9;2;20;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:46;A 24;1;1;31;0;0;1;13;0;0;1;1;1;0;1;9;0;0;2;60;0;1;4;13;1;5;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:45;A 24;1;2;8;0;0;1;22;0;0;0;0;1;1;0;3;1;8;1;7;3;57;0;0;1;8;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:44;A 24;1;1;1;0;0;1;10;0;0;0;0;1;1;1;3;1;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:43;A 24;1;1;0;2;1;2;13;2;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:42;A 24;1;1;3;0;0;1;9;0;0;0;0;1;1;1;3;1;5;0;0;1;14;1;6;1;12;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:41;A 24;1;0;0;0;0;0;0;0;0;1;1;2;1;1;11;1;8;1;2;1;37;2;11;1;13;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:40;A 24;1;1;1;0;0;1;7;0;0;0;0;1;1;2;5;1;7;0;0;1;15;1;10;2;14;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:39;A 24;1;0;0;0;0;0;0;0;0;1;1;0;0;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:38;A 24;1;0;0;2;1;1;2;5;5;0;0;0;0;0;0;0;0;0;0;1;19;1;7;1;7;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:37;A 24;1;1;1;3;2;1;12;3;15;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:36;A 24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;19;2;22;3;28;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:35;A 24;1;3;2;3;2;2;21;2;11;0;0;0;0;0;0;0;0;0;0;1;14;0;0;2;14;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:34;A 24;1;2;2;0;0;1;12;0;0;1;1;1;0;0;3;0;0;0;0;1;3;0;0;2;9;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:33;A 24;1;2;1;2;1;1;19;3;8;1;1;1;27;4;22;2;13;1;1;1;24;1;9;2;12;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:32;A 24;1;0;0;0;0;1;4;0;0;0;0;1;1;1;6;2;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:31;A 24;1;0;0;1;1;0;0;1;5;1;17;1;1;2;12;1;7;0;0;1;3;1;5;1;11;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:30;A 24;1;1;1;0;0;1;10;0;0;0;0;2;1;1;3;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:29;A 24;1;3;11;2;1;1;22;1;8;1;1;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:28;A 24;1;1;1;1;1;2;20;1;5;1;1;1;1;1;11;1;6;0;0;1;15;1;9;1;12;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:27;A 24;1;3;2;1;0;1;22;1;6;1;1;0;0;2;15;0;0;0;0;1;10;0;0;1;14;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:26;A 24;1;0;0;0;0;0;0;0;0;2;20;0;0;2;18;1;2;0;2;1;1;0;0;1;5;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:25;A 24;1;1;0;1;1;1;8;2;6;1;2;0;0;1;13;0;0;1;26;1;3;5;11;2;14;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:24;A 24;1;1;1;2;2;1;8;3;14;2;14;2;16;2;23;1;28;1;9;1;19;2;16;2;16;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:23;A 24;1;3;3;1;0;2;24;1;5;1;1;0;0;1;6;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:22;A 24;1;1;1;0;0;1;8;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:21;A 24;1;3;3;3;3;1;29;1;15;0;0;3;3;1;3;3;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:20;A 24;1;1;1;1;1;1;14;0;3;1;1;0;0;2;12;1;1;0;0;1;8;1;2;1;13;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:19;A 24;1;1;1;0;0;2;18;1;0;1;0;2;2;2;9;1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:18;A 24;1;1;0;0;0;1;8;0;0;1;1;3;2;4;18;2;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:17;A 24;1;4;4;2;2;2;20;3;12;1;0;1;1;1;9;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:16;A 24;1;1;6;1;28;1;13;2;7;0;0;0;0;0;0;0;0;2;0;2;21;1;15;1;16;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:15;A 24;1;2;3;1;1;1;11;2;3;1;8;0;7;1;5;1;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:14;A 24;1;1;1;0;0;1;11;0;0;1;7;3;6;2;22;2;23;1;1;1;13;2;15;2;17;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:13;A 24;1;2;1;2;1;2;18;2;9;0;0;0;0;1;4;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:12;A 24;1;5;6;5;5;1;32;3;21;0;0;2;1;1;4;2;11;0;0;1;24;0;0;1;10;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:11;A 24;1;1;0;1;0;3;14;1;5;0;0;2;8;2;8;2;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:10;A 24;1;1;1;0;0;1;8;0;0;1;2;3;25;3;16;3;31;2;5;1;16;1;10;1;10;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:09;A 24;1;4;4;1;1;2;22;1;7;0;0;1;1;1;6;0;1;0;0;1;5;1;21;1;18;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:08;A 24;1;3;2;0;0;1;18;0;0;2;2;2;1;2;11;2;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:07;A 24;1;1;34;1;26;1;13;2;6;3;22;1;17;4;39;1;6;0;0;2;16;1;4;1;27;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:06;A 24;1;1;1;0;0;1;7;0;0;0;0;2;2;0;0;2;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:05;A 24;1;2;2;2;2;2;17;2;12;2;2;2;2;1;8;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:04;A 24;1;2;1;0;0;2;15;0;0;0;0;1;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:03;A 24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;12;1;7;1;8;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:02;A 24;1;1;1;2;1;2;19;2;10;2;2;0;0;1;11;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:01;A 24;1;3;3;0;0;1;17;0;0;2;2;1;17;3;28;1;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;23:00;A 24;1;0;0;1;1;0;0;1;6;1;0;2;16;1;6;1;9;1;5;2;10;1;6;2;29;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;22:59;A 24;1;1;1;0;0;1;9;0;0;0;0;2;1;1;5;1;14;0;0;0;0;0;0;1;8;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;22:58;A 24;1;1;0;2;1;1;8;5;10;0;0;1;1;1;7;2;25;0;0;2;15;2;14;2;21;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;22:57;A 24;1;1;1;1;1;1;12;2;6;2;17;0;0;2;3;1;5;1;16;1;4;1;15;1;18;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;22:56;A 24;1;2;2;0;0;1;18;0;0;1;3;4;28;4;21;7;61;1;14;0;0;1;8;1;5;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;22:55;A 24;1;1;1;0;0;1;11;0;0;2;1;0;0;2;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;22:54;A 24;1;3;25;1;18;1;39;1;8;1;1;0;0;1;7;0;0;0;0;1;20;1;3;1;9;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;22:53;A 24;1;6;7;3;2;1;25;2;14;0;0;1;1;0;0;1;6;1;11;2;76;2;14;4;27;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;22:52;A 24;1;0;0;1;2;0;0;1;9;3;2;5;5;2;29;2;41;0;0;2;55;1;6;1;18;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;22:51;A 24;1;2;2;2;1;1;11;3;14;0;0;1;1;1;5;2;8;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;22:50;A 24;1;2;21;1;25;1;43;1;9;2;2;1;1;1;10;1;8;2;17;0;0;2;7;1;6;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;22:49;A 24;1;3;3;4;3;1;28;4;18;0;0;3;3;0;10;3;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;22:48;A 24;1;1;3;3;3;2;9;1;11;1;1;2;3;3;13;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;22:47;A 24;1;3;19;2;15;2;25;5;17;0;0;0;0;0;0;1;10;0;0;1;15;1;7;1;11;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;22:46;A 24;1;1;1;2;11;3;19;4;17;0;0;0;0;0;0;0;0;1;12;1;16;1;13;1;8;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;22:45;A 24;1;2;2;3;3;1;19;3;16;1;1;0;0;1;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;22:44;A 24;1;3;3;1;1;2;24;1;7;0;0;2;2;1;4;2;14;1;32;1;30;1;7;1;12;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;22:43;A 24;1;1;1;1;1;1;11;1;6;2;2;4;3;3;26;3;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;22:42;A 24;1;2;1;0;20;2;12;0;0;0;0;1;17;0;0;1;4;0;0;2;26;1;5;4;22;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;22:41;A 24;1;2;1;1;7;3;31;3;4;1;1;1;1;1;10;1;14;0;0;1;2;1;10;1;12;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;22:40;A 24;1;3;3;2;1;1;13;1;9;0;0;0;0;1;0;0;0;1;1;2;26;3;19;2;24;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;22:39;A 24;1;3;4;2;1;2;28;3;10;2;7;2;1;2;18;2;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;22:38;A 24;1;3;3;2;2;1;21;1;10;3;18;2;2;3;35;1;28;1;6;3;9;3;20;2;32;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;22:37;A 24;1;0;0;0;14;0;0;0;0;4;3;1;1;2;26;1;5;1;43;2;40;2;22;2;29;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;22:36;A 24;1;3;3;4;17;2;28;2;18;3;3;1;0;1;16;1;6;1;17;1;15;1;14;1;16;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;22:35;A 24;1;2;1;1;1;2;19;1;8;1;1;2;2;2;18;3;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;22:34;A 24;1;4;3;0;0;1;21;0;0;0;0;1;1;0;0;1;24;2;17;1;14;1;11;1;13;0;0;0;0;0;0;0;0;;;;;;;;;;
07.02.2024;22:33;A 24;1;4;4;2;1;2;27;2;10;0;0;1;1;1;3;1;6;0;0;1;12;1;5;1;10;0;0;0;0;0;0;0;0;;;;;;;;;;
